"gene_id","logFC","logCPM","F","PValue","FDR","comparison","direction","FDR_lt_0_05","strict_DE_FDR_0_05_abslogFC_1","strict_direction"
"ENSSSCG00000021657",1.66746380877917,0.426275168952667,21.447307118588,0.00041813926511672,0.00247597180230486,"ACLT_t28_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000039024",-0.892251141172801,1.75617837956637,21.3138734857019,0.00041873415942455,0.00247845826748405,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000002646",-0.515492143768514,5.41527865283894,21.2971489173577,0.000419195626113755,0.00248015323653936,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000039874",-2.27854744839893,4.30197678871734,21.2953166487476,0.000419469368525373,0.00248073659114546,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000011768",-0.87988378207863,2.73751074728096,21.2753635671648,0.000421343559972165,0.00249006451174553,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000008858",0.560688418153075,4.79202296826588,21.2716599736634,0.000421398237408503,0.00249006451174553,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000040732",-0.980215330816349,4.25482317872136,21.2605494252567,0.000422392913783267,0.00249490126389749,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000017864",-0.659396804574172,3.10855129207383,21.2533808287663,0.000423127581310334,0.00249758275826525,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000017300",-0.698934897113824,8.352523260155,21.2505120593974,0.000423199563671039,0.00249758275826525,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000033624",1.89643756079487,3.9178072971596,21.2482240950584,0.000423535701729334,0.00249760440185718,"ACLT_t28_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000038990",1.47184463286133,1.68134603594588,21.2673289469158,0.000423555900399671,0.00249760440185718,"ACLT_t28_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000054166",1.85853297952296,0.446366051067754,21.3710577757838,0.00042420238829452,0.00250037430566721,"ACLT_t28_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000010078",-0.627146340933068,4.64090203950962,21.2372710422208,0.000424378694635976,0.00250037430566721,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000013332",1.14586692559159,0.627481570355241,21.3237325360061,0.00042462964041009,0.00250081256830292,"ACLT_t28_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000011833",0.949998315789356,6.03887717879207,21.2232327569337,0.000425564163208744,0.00250527464991216,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000018050",-1.72470260798994,4.12218536563374,21.2055911886928,0.000427198324788627,0.00251385005081268,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000040657",0.534973947589874,5.27463110852859,21.1839906584588,0.000428996293289508,0.00252338185139227,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000030424",1.12648178374573,1.54141414872645,21.182393362685,0.000430818756555374,0.00253304975834384,"ACLT_t28_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000030274",-1.24328280173027,5.08916612666135,21.1613984059847,0.000431005697263113,0.00253309738424678,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000039812",0.697765173704046,6.03404672280493,21.1263139092632,0.00043408479195864,0.00255013562559194,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000001534",-0.632601524050956,5.21919736705524,21.1210230583206,0.000434557458736532,0.00255185399898186,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000013616",-0.734692506363693,2.79195901758522,21.112344208282,0.000435578205298307,0.00255678810602786,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000061401",-0.992758004472813,2.32848969140285,21.1127577291251,0.000435794974998154,0.00255700083921866,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000004473",-0.853573107345252,2.08655506219464,21.0927492487079,0.000437716443168543,0.00256721147040962,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000029261",0.535577319360154,5.50650958440525,21.0827326292122,0.00043798498650057,0.0025677232403949,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000060376",0.782244629715242,1.43674984485495,21.0903825880488,0.000438860293576283,0.00257179031783801,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000039139",-0.699828458857337,6.09549609784591,21.0690896131621,0.000439207575353812,0.00257186136422581,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000017602",0.822998257389121,2.55543432744534,21.0714210678323,0.000439361750300412,0.00257186136422581,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000054762",-0.456450158352742,5.23175971388277,21.0667846862165,0.000439417149211131,0.00257186136422581,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000001379",0.549837510876649,9.15289106068882,21.0600900595179,0.000440018671006356,0.00257431823879968,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000012155",-1.05814762074918,1.57082910956661,21.0406258341501,0.000443236550057525,0.00259207369736366,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000005373",0.63576579324261,4.30495889580602,21.0044954392485,0.000445120022423366,0.00260201403120287,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000004596",-1.50667137053497,2.6150691832951,21.0068899096336,0.000445354956489753,0.00260231336787164,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000035120",-0.458528805714005,4.9530660068282,20.993071221842,0.000446140107440765,0.00260582617805814,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000010327",0.474147174499101,4.70301193174207,20.9850023185053,0.000446882967084511,0.00260784562667668,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000004075",1.68897980623607,0.782855806934708,21.0896062380678,0.000447035762569548,0.00260784562667668,"ACLT_t28_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000060201",-0.726447784880006,3.99549124274892,20.9838273601288,0.00044703820824421,0.00260784562667668,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000003139",-0.449862621473967,5.9410203600784,20.9793469022501,0.000447382132949088,0.0026087774932445,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000008000",-0.848786408178916,4.5486514123427,20.9726721480162,0.00044803306431623,0.00261100921244596,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000011373",0.391433528722348,6.58519174878296,20.9711858052805,0.000448133535403568,0.00261100921244596,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000004931",-1.09672988532268,5.07581780936031,20.9656165243226,0.000448676387425494,0.00261308802114458,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000006539",0.44752852019487,7.12031218929744,20.9633220251297,0.000448859302135326,0.00261308802114458,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000000952",-0.468202907302432,4.80337730095278,20.9612340695966,0.000449081661076079,0.00261330840077304,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000011653",-0.376204446461226,5.6988733484805,20.9472037614107,0.000450352734304785,0.00261962880028459,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000011760",-0.413003087236778,5.63788627495554,20.9375182649969,0.000451252307483803,0.00262378394220057,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000017511",-0.783182373813758,9.70598221461985,20.8967878218053,0.000455055823255716,0.0026448135743102,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000024180",0.602248010439638,5.95896397033096,20.8920662665535,0.000455500341032384,0.0026463112511824,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
