"sample_id","group","group_raw","total_score_unoriented","up_score","down_score_raw","down_score_reoriented","directional_score","directional_score_sum_means"
"GSM7140486_CON1_synovium","Control_52W","Control_52W",-0.107932136732163,-0.0962221088873634,-0.184047317723358,0.184047317723358,-0.0588528520059339,0.0878252088359947
"GSM7140491_CON2_synovium","Control_52W","Control_52W",-0.0414755386575988,-0.144168860376044,0.626031052512297,-0.626031052512297,-0.208417152660878,-0.770199912888341
"GSM7140495_CON3_synovium","Control_52W","Control_52W",0.0387616800374865,0.0122962498110852,0.210786976509095,-0.210786976509095,-0.0174481803649389,-0.19849072669801
"GSM7140500_CON4_synovium","Control_52W","Control_52W",-0.48943727594195,-0.588083447398006,0.151762838522411,-0.151762838522411,-0.529907366214593,-0.739846285920417
"GSM7140502_CON5_synovium","Control_52W","Control_52W",0.113651923458097,0.0649258956845843,0.430371103985933,-0.430371103985933,-0.00111370427148476,-0.365445208301349
"GSM7140507_CON6_synovium","Control_52W","Control_52W",-0.136997799440493,-0.302010046527356,0.935581806624117,-0.935581806624117,-0.386486281206924,-1.23759185315147
"GSM7140511_CON7_synovium","Control_52W","Control_52W",-0.235913127217186,-0.251112172870446,-0.137119330470995,0.137119330470995,-0.19934797242492,-0.113992842399451
"GSM7140516_CON8_synovium","Control_52W","Control_52W",-0.507504573216318,-0.538960552988358,-0.303040704698058,0.303040704698058,-0.42669371863017,-0.235919848290301
"GSM7140518_CON9_synovium","Control_52W","Control_52W",0.0162921118002842,-0.0364771222269684,0.359292132977426,-0.359292132977426,-0.0795191236603627,-0.395769255204394
"GSM7140523_CON10_synovium","Control_52W","Control_52W",-0.125614248348258,-0.115016593261284,-0.194499006413586,0.194499006413586,-0.0737478466379679,0.0794824131523021
"GSM7140527_CON11_synovium","Control_52W","Control_52W",0.225450405017829,0.319361729510113,-0.384973204182013,0.384973204182013,0.328109926133033,0.704334933692126
"GSM7140532_CON12_synovium","Control_52W","Control_52W",-0.372773595744056,-0.422366894186112,-0.0504171558706965,0.0504171558706965,-0.359329020845204,-0.371949738315415
"GSM7140487_ACLT1_synovium","ACLT_alone_52W","ACLT_alone_52W",0.356571658574525,0.40877704713884,0.0172366329064814,-0.0172366329064814,0.351975223132797,0.391540414232358
"GSM7140488_ACLT2_synovium","ACLT_alone_52W","ACLT_alone_52W",0.162425510743735,0.198049816345078,-0.0691324756649917,0.0691324756649917,0.180860837587733,0.267182292010069
"GSM7140489_ACLT3_synovium","ACLT_alone_52W","ACLT_alone_52W",0.0470020006543001,0.129266933632675,-0.487720063705137,0.487720063705137,0.177060684309003,0.616986997337812
"GSM7140490_ACLT4_synovium","ACLT_alone_52W","ACLT_alone_52W",0.323048109878979,0.406037528970017,-0.216383114212769,0.216383114212769,0.380750273669051,0.622420643182786
"GSM7140492_ACLT5_synovium","ACLT_alone_52W","ACLT_alone_52W",0.0868720145944378,0.146989140726304,-0.303889305262691,0.303889305262691,0.167909162664489,0.450878445988995
"GSM7140493_ACLT6_synovium","ACLT_alone_52W","ACLT_alone_52W",0.371725813088225,0.445900731074776,-0.110411153824359,0.110411153824359,0.401168787441387,0.556311884899135
"GSM7140494_ACLT7_synovium","ACLT_alone_52W","ACLT_alone_52W",0.109663224406849,0.145186962006943,-0.121241069993767,0.121241069993767,0.141994176405187,0.266428032000711
"GSM7140496_ACLT8_synovium","ACLT_alone_52W","ACLT_alone_52W",0.120640477966648,0.116375044196581,0.148365797472086,-0.148365797472086,0.0810762653074253,-0.0319907532755048
"GSM7140497_ACLT9_synovium","ACLT_alone_52W","ACLT_alone_52W",0.0331618830396994,0.0615295074462193,-0.15122767560268,0.15122767560268,0.073489263200414,0.212757183048899
"GSM7140498_ACLT10_synovium","ACLT_alone_52W","ACLT_alone_52W",0.0320782488922281,0.0206735017139859,0.106209105550803,-0.106209105550803,0.00375582074534738,-0.085535603836817
"GSM7140499_ACLT11_synovium","ACLT_alone_52W","ACLT_alone_52W",-0.260691466831814,-0.210558900227348,-0.586553149760842,0.586553149760842,-0.104277293562256,0.375994249533494
"GSM7140501_ACLT12_synovium","ACLT_alone_52W","ACLT_alone_52W",0.240994699976513,0.229606610692086,0.315017280325295,-0.315017280325295,0.156990091889768,-0.0854106696332091
