"item","value"
"R_version","4.5.2"
"method_version","2026-05-27_Step5B_core_DE_audit_final_Step4_DE_source_locked_no_Step26_fallback_J_summary_path_fixed"
"fixed_core_definition","fixed early-defined 24 core ortholog genes from pig early primary-analysis workflow"
"chronic_DE_source","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step4_current78_DE_GSEA/chronic_step4_DE_ACLT_alone_52W_vs_Control_52W_edgeR_QLF_tximport_offset.csv"
"chronic_comparison","ACLT_alone_52W vs Control_52W; logFC > 0 means higher in ACLT_alone_52W"
"direction_consistency_rule","Up_in_ACLR requires chronic logFC > 0; Down_in_ACLR requires chronic logFC < 0"
"strict_DEG_rule","chronic FDR < 0.05 and |chronic logFC| > 1"
"analysis_role","chronic DE audit only; final Step4 DE source locked; no chronic core redefinition"
