"sample_id","geo_accession","label_from_sample_id","total_estimated_counts","detected_genes_count_gt0","detected_genes_count_ge1","tissue_from_sample_id","inferred_group_from_sample_id","tpm_sum_gene_level","genes_with_tpm_gt0","effective_length_na_n","effective_length_nonpositive_n","effective_length_median"
"GSM7140474_REPAIR4_cartilage","GSM7140474","REPAIR4_cartilage",15231229.573,16025,16021,"cartilage","Repair_52W",993814.245277,16025,0,0,1978.92708333333
"GSM7140475_CON10_cartilage","GSM7140475","CON10_cartilage",13476616.642,16184,16181,"cartilage","Control_52W",993156.076878,16184,0,0,1995.73570158402
"GSM7140476_REPAIR5_cartilage","GSM7140476","REPAIR5_cartilage",14364583.892,15786,15785,"cartilage","Repair_52W",993899.701288,15786,0,0,2014.48220181115
"GSM7140477_REPAIR6_cartilage","GSM7140477","REPAIR6_cartilage",14697777.011,16327,16321,"cartilage","Repair_52W",993441.969764,16327,0,0,1925.18554166666
"GSM7140478_REPAIR7_cartilage","GSM7140478","REPAIR7_cartilage",17878556.019,16868,16859,"cartilage","Repair_52W",991168.445787,16868,0,0,1986.40061593362
"GSM7140479_CON11_cartilage","GSM7140479","CON11_cartilage",11205910.802,16309,16302,"cartilage","Control_52W",991306.962458,16309,0,0,2052.781
"GSM7140480_REPAIR8_cartilage","GSM7140480","REPAIR8_cartilage",14898357.976,16462,16461,"cartilage","Repair_52W",992201.905959,16462,0,0,2008.68325736597
"GSM7140481_REPAIR9_cartilage","GSM7140481","REPAIR9_cartilage",14874883.605,15969,15966,"cartilage","Repair_52W",994784.80705,15969,0,0,2049.0824596129
"GSM7140482_REPAIR10_cartilage","GSM7140482","REPAIR10_cartilage",15789989.365,16104,16101,"cartilage","Repair_52W",992988.090956,16104,0,0,1986.57011718623
"GSM7140483_REPAIR11_cartilage","GSM7140483","REPAIR11_cartilage",13392011.285,16539,16535,"cartilage","Repair_52W",992755.760571,16539,0,0,2005.1605
"GSM7140484_CON12_cartilage","GSM7140484","CON12_cartilage",18068618.606,16511,16508,"cartilage","Control_52W",993690.441326,16511,0,0,2055.1165
"GSM7140485_REPAIR12_cartilage","GSM7140485","REPAIR12_cartilage",12337241.84,16034,16031,"cartilage","Repair_52W",993221.759978,16034,0,0,1931.05241884805
