"quant_file","basename","geo_accession","label_from_filename","tissue_from_filename","inferred_group_from_filename","file_size_bytes"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140461_RECON6_cartilage_quant.sf.txt.gz","GSM7140461_RECON6_cartilage_quant.sf.txt.gz","GSM7140461","RECON6_cartilage","cartilage","Reconstruction_52W",755453
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140462_RECON7_cartilage_quant.sf.txt.gz","GSM7140462_RECON7_cartilage_quant.sf.txt.gz","GSM7140462","RECON7_cartilage","cartilage","Reconstruction_52W",766181
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140463_CON7_cartilage_quant.sf.txt.gz","GSM7140463_CON7_cartilage_quant.sf.txt.gz","GSM7140463","CON7_cartilage","cartilage","Control_52W",763910
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140464_RECON8_cartilage_quant.sf.txt.gz","GSM7140464_RECON8_cartilage_quant.sf.txt.gz","GSM7140464","RECON8_cartilage","cartilage","Reconstruction_52W",759101
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140465_RECON9_cartilage_quant.sf.txt.gz","GSM7140465_RECON9_cartilage_quant.sf.txt.gz","GSM7140465","RECON9_cartilage","cartilage","Reconstruction_52W",759024
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140466_RECON10_cartilage_quant.sf.txt.gz","GSM7140466_RECON10_cartilage_quant.sf.txt.gz","GSM7140466","RECON10_cartilage","cartilage","Reconstruction_52W",766998
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140467_RECON11_cartilage_quant.sf.txt.gz","GSM7140467_RECON11_cartilage_quant.sf.txt.gz","GSM7140467","RECON11_cartilage","cartilage","Reconstruction_52W",769494
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140468_CON8_cartilage_quant.sf.txt.gz","GSM7140468_CON8_cartilage_quant.sf.txt.gz","GSM7140468","CON8_cartilage","cartilage","Control_52W",760535
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140469_RECON12_cartilage_quant.sf.txt.gz","GSM7140469_RECON12_cartilage_quant.sf.txt.gz","GSM7140469","RECON12_cartilage","cartilage","Reconstruction_52W",757534
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140470_CON9_cartilage_quant.sf.txt.gz","GSM7140470_CON9_cartilage_quant.sf.txt.gz","GSM7140470","CON9_cartilage","cartilage","Control_52W",752725
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140471_REPAIR1_cartilage_quant.sf.txt.gz","GSM7140471_REPAIR1_cartilage_quant.sf.txt.gz","GSM7140471","REPAIR1_cartilage","cartilage","Repair_52W",765915
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140472_REPAIR2_cartilage_quant.sf.txt.gz","GSM7140472_REPAIR2_cartilage_quant.sf.txt.gz","GSM7140472","REPAIR2_cartilage","cartilage","Repair_52W",762499
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140473_REPAIR3_cartilage_quant.sf.txt.gz","GSM7140473_REPAIR3_cartilage_quant.sf.txt.gz","GSM7140473","REPAIR3_cartilage","cartilage","Repair_52W",756832
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140474_REPAIR4_cartilage_quant.sf.txt.gz","GSM7140474_REPAIR4_cartilage_quant.sf.txt.gz","GSM7140474","REPAIR4_cartilage","cartilage","Repair_52W",754228
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140475_CON10_cartilage_quant.sf.txt.gz","GSM7140475_CON10_cartilage_quant.sf.txt.gz","GSM7140475","CON10_cartilage","cartilage","Control_52W",755897
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140476_REPAIR5_cartilage_quant.sf.txt.gz","GSM7140476_REPAIR5_cartilage_quant.sf.txt.gz","GSM7140476","REPAIR5_cartilage","cartilage","Repair_52W",751253
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140477_REPAIR6_cartilage_quant.sf.txt.gz","GSM7140477_REPAIR6_cartilage_quant.sf.txt.gz","GSM7140477","REPAIR6_cartilage","cartilage","Repair_52W",756170
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140478_REPAIR7_cartilage_quant.sf.txt.gz","GSM7140478_REPAIR7_cartilage_quant.sf.txt.gz","GSM7140478","REPAIR7_cartilage","cartilage","Repair_52W",776504
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140479_CON11_cartilage_quant.sf.txt.gz","GSM7140479_CON11_cartilage_quant.sf.txt.gz","GSM7140479","CON11_cartilage","cartilage","Control_52W",759500
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140480_REPAIR8_cartilage_quant.sf.txt.gz","GSM7140480_REPAIR8_cartilage_quant.sf.txt.gz","GSM7140480","REPAIR8_cartilage","cartilage","Repair_52W",763716
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140481_REPAIR9_cartilage_quant.sf.txt.gz","GSM7140481_REPAIR9_cartilage_quant.sf.txt.gz","GSM7140481","REPAIR9_cartilage","cartilage","Repair_52W",755040
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140482_REPAIR10_cartilage_quant.sf.txt.gz","GSM7140482_REPAIR10_cartilage_quant.sf.txt.gz","GSM7140482","REPAIR10_cartilage","cartilage","Repair_52W",759114
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140483_REPAIR11_cartilage_quant.sf.txt.gz","GSM7140483_REPAIR11_cartilage_quant.sf.txt.gz","GSM7140483","REPAIR11_cartilage","cartilage","Repair_52W",761780
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140484_CON12_cartilage_quant.sf.txt.gz","GSM7140484_CON12_cartilage_quant.sf.txt.gz","GSM7140484","CON12_cartilage","cartilage","Control_52W",766326
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140485_REPAIR12_cartilage_quant.sf.txt.gz","GSM7140485_REPAIR12_cartilage_quant.sf.txt.gz","GSM7140485","REPAIR12_cartilage","cartilage","Repair_52W",749637
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140486_CON1_synovium_quant.sf.txt.gz","GSM7140486_CON1_synovium_quant.sf.txt.gz","GSM7140486","CON1_synovium","synovium","Control_52W",764562
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140487_ACLT1_synovium_quant.sf.txt.gz","GSM7140487_ACLT1_synovium_quant.sf.txt.gz","GSM7140487","ACLT1_synovium","synovium","ACLT_alone_52W",766608
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140488_ACLT2_synovium_quant.sf.txt.gz","GSM7140488_ACLT2_synovium_quant.sf.txt.gz","GSM7140488","ACLT2_synovium","synovium","ACLT_alone_52W",774441
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140489_ACLT3_synovium_quant.sf.txt.gz","GSM7140489_ACLT3_synovium_quant.sf.txt.gz","GSM7140489","ACLT3_synovium","synovium","ACLT_alone_52W",773405
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140490_ACLT4_synovium_quant.sf.txt.gz","GSM7140490_ACLT4_synovium_quant.sf.txt.gz","GSM7140490","ACLT4_synovium","synovium","ACLT_alone_52W",763542
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140491_CON2_synovium_quant.sf.txt.gz","GSM7140491_CON2_synovium_quant.sf.txt.gz","GSM7140491","CON2_synovium","synovium","Control_52W",768272
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140492_ACLT5_synovium_quant.sf.txt.gz","GSM7140492_ACLT5_synovium_quant.sf.txt.gz","GSM7140492","ACLT5_synovium","synovium","ACLT_alone_52W",767095
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140493_ACLT6_synovium_quant.sf.txt.gz","GSM7140493_ACLT6_synovium_quant.sf.txt.gz","GSM7140493","ACLT6_synovium","synovium","ACLT_alone_52W",759978
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140494_ACLT7_synovium_quant.sf.txt.gz","GSM7140494_ACLT7_synovium_quant.sf.txt.gz","GSM7140494","ACLT7_synovium","synovium","ACLT_alone_52W",769819
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140495_CON3_synovium_quant.sf.txt.gz","GSM7140495_CON3_synovium_quant.sf.txt.gz","GSM7140495","CON3_synovium","synovium","Control_52W",777716
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140496_ACLT8_synovium_quant.sf.txt.gz","GSM7140496_ACLT8_synovium_quant.sf.txt.gz","GSM7140496","ACLT8_synovium","synovium","ACLT_alone_52W",780336
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140497_ACLT9_synovium_quant.sf.txt.gz","GSM7140497_ACLT9_synovium_quant.sf.txt.gz","GSM7140497","ACLT9_synovium","synovium","ACLT_alone_52W",762774
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140498_ACLT10_synovium_quant.sf.txt.gz","GSM7140498_ACLT10_synovium_quant.sf.txt.gz","GSM7140498","ACLT10_synovium","synovium","ACLT_alone_52W",766525
