"matrix_geo_accession","matrix_sample_id","quant_file","basename","label_from_filename","tissue_from_filename","inferred_group_from_filename","has_matching_synovium_quant_file"
"GSM7140492","GSM7140492_ACLT5_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140492_ACLT5_synovium_quant.sf.txt.gz","GSM7140492_ACLT5_synovium_quant.sf.txt.gz","ACLT5_synovium","synovium","ACLT_alone_52W",TRUE
"GSM7140493","GSM7140493_ACLT6_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140493_ACLT6_synovium_quant.sf.txt.gz","GSM7140493_ACLT6_synovium_quant.sf.txt.gz","ACLT6_synovium","synovium","ACLT_alone_52W",TRUE
"GSM7140494","GSM7140494_ACLT7_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140494_ACLT7_synovium_quant.sf.txt.gz","GSM7140494_ACLT7_synovium_quant.sf.txt.gz","ACLT7_synovium","synovium","ACLT_alone_52W",TRUE
"GSM7140495","GSM7140495_CON3_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140495_CON3_synovium_quant.sf.txt.gz","GSM7140495_CON3_synovium_quant.sf.txt.gz","CON3_synovium","synovium","Control_52W",TRUE
"GSM7140496","GSM7140496_ACLT8_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140496_ACLT8_synovium_quant.sf.txt.gz","GSM7140496_ACLT8_synovium_quant.sf.txt.gz","ACLT8_synovium","synovium","ACLT_alone_52W",TRUE
"GSM7140497","GSM7140497_ACLT9_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140497_ACLT9_synovium_quant.sf.txt.gz","GSM7140497_ACLT9_synovium_quant.sf.txt.gz","ACLT9_synovium","synovium","ACLT_alone_52W",TRUE
"GSM7140498","GSM7140498_ACLT10_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140498_ACLT10_synovium_quant.sf.txt.gz","GSM7140498_ACLT10_synovium_quant.sf.txt.gz","ACLT10_synovium","synovium","ACLT_alone_52W",TRUE
"GSM7140499","GSM7140499_ACLT11_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140499_ACLT11_synovium_quant.sf.txt.gz","GSM7140499_ACLT11_synovium_quant.sf.txt.gz","ACLT11_synovium","synovium","ACLT_alone_52W",TRUE
"GSM7140500","GSM7140500_CON4_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140500_CON4_synovium_quant.sf.txt.gz","GSM7140500_CON4_synovium_quant.sf.txt.gz","CON4_synovium","synovium","Control_52W",TRUE
"GSM7140501","GSM7140501_ACLT12_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140501_ACLT12_synovium_quant.sf.txt.gz","GSM7140501_ACLT12_synovium_quant.sf.txt.gz","ACLT12_synovium","synovium","ACLT_alone_52W",TRUE
"GSM7140502","GSM7140502_CON5_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140502_CON5_synovium_quant.sf.txt.gz","GSM7140502_CON5_synovium_quant.sf.txt.gz","CON5_synovium","synovium","Control_52W",TRUE
