"geo_accession","label_from_filename","inferred_group_from_filename","quant_file","read_status","error_message","n_transcripts","has_standard_columns","missing_standard_columns","tpm_sum","numreads_sum","effective_length_na_n","effective_length_nonpositive_n"
"GSM7140510","RECON7_synovium","Reconstruction_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140510_RECON7_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999942,14607475.02,0,0
"GSM7140511","CON7_synovium","Control_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140511_CON7_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999993,12767938.989,0,0
"GSM7140512","RECON8_synovium","Reconstruction_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140512_RECON8_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999996,15916730.95,0,0
"GSM7140513","RECON9_synovium","Reconstruction_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140513_RECON9_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999968,11614077.987,0,0
"GSM7140514","RECON10_synovium","Reconstruction_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140514_RECON10_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999988,14846182.934,0,0
"GSM7140515","RECON11_synovium","Reconstruction_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140515_RECON11_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",1000000.000008,10051722.984,0,0
"GSM7140516","CON8_synovium","Control_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140516_CON8_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",1000000.000008,10811238.966,0,0
"GSM7140517","RECON12_synovium","Reconstruction_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140517_RECON12_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999993,13384611.024,0,0
"GSM7140518","CON9_synovium","Control_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140518_CON9_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999958,13327077.012,0,0
"GSM7140519","REPAIR1_synovium","Repair_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140519_REPAIR1_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",1000000.000043,14314317.951,0,0
