"panel","timepoint","raw_genes_after_NA_QC","samples","genes_after_filterByExpr","design_formula","block_factor","duplicateCorrelation_consensus","normalization","first_voom","second_voom_with_block_correlation","lmFit_block","lmFit_correlation","eBayes_robust","coefficient","contrast_direction","FDR_threshold","abs_logFC_threshold","strict_DEG_total","strict_DEG_up","strict_DEG_down","de_table","volcano_source_data","selected_label_table","output_png","output_pdf"
"Figure1D","1W",19296,24,14311,"~ treatment","mouse_id",0.235759046713306,"edgeR TMM",TRUE,TRUE,"mouse_id",0.235759046713306,FALSE,"treatmentACLR","logFC > 0 means ACLR higher than Contra",0.05,1,3429,2053,1376,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/03_DE_analysis/step05_DE_1W_ACLR_vs_Contra_limma_voom_duplicateCorrelation.csv","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_selected_SYMBOL_labels.csv","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/06_figures/Figure1/Figure1D_mouse_1W_volcano.png","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/06_figures/Figure1/Figure1D_mouse_1W_volcano.pdf"
"Figure1E","4W",19296,24,14316,"~ treatment","mouse_id",0.18804405040778,"edgeR TMM",TRUE,TRUE,"mouse_id",0.18804405040778,FALSE,"treatmentACLR","logFC > 0 means ACLR higher than Contra",0.05,1,1716,1182,534,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/03_DE_analysis/step05_DE_4W_ACLR_vs_Contra_limma_voom_duplicateCorrelation.csv","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1E_4W_volcano_source_data.csv","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1E_4W_selected_SYMBOL_labels.csv","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/06_figures/Figure1/Figure1E_mouse_4W_volcano.png","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/06_figures/Figure1/Figure1E_mouse_4W_volcano.pdf"
