"st_gene_id","ENTREZID","SYMBOL"
"G10090_20509","100041586","Dynlt2a3"
"G10090_14042","100041593",""
"G10090_28543","100041596","Gal3st2b"
"G10090_13931","100041598","Gm3424"
"G10090_27554","100041599",""
"G10090_11908","100041621","Ermardl1"
"G10090_28183","100041639","Dynlt2a2"
"G10090_12098","100041642","Spin2-ps4"
"G10090_15486","100041658","Mup7"
"G10090_20676","100041677","Zfp984"
"G10090_12055","100041678","Gm3500"
"G10090_29744","100041687","Mup8"
"G10090_20686","100041702","Gm3476"
"G10090_10790","100041708","LOC100041708"
"G10090_225","100041734","4930522L14Rik"
"G10090_18652","100041735","Gm3488"
"G10090_29332","100041774","Gm10413"
"G10090_12072","100041840","Gm10408"
"G10090_16620","100041874","Gm3558"
"G10090_22935","100041903","LOC100041903"
"G10090_32889","100041953","Sap18b"
"G10090_13346","100041958","Lamtor3l"
"G10090_33429","100041964","Gm3594"
"G10090_10299","100041979","Gm3604"
"G10090_21183","100042025","Gapdh-ps15"
"G10090_12874","100042054","Gm3194"
"G10090_24348","100042065","Gm3646"
"G10090_21460","100042074","Gm3650"
"G10090_28790","100042079","Gm20901"
"G10090_1175","100042100","Gm3667"
"G10090_27835","100042110","Gm20903"
"G10090_16641","100042149","Gm3696"
"G10090_21046","100042150","Nrg2"
"G10090_27173","100042165","Thoc2l"
"G10090_32448","100042295","Gsta13"
"G10090_1559","100042304","Gm38418"
"G10090_14259","100042314","Gsta5"
"G10090_32114","100042355","Gm10705"
"G10090_7422","100042417","Gm20916"
"G10090_30227","100042424","Pdcd5-ps"
"G10090_23664","100042450","Smim17"
"G10090_95","100042480","Nhsl2"
"G10090_20417","100042499","Vmn2r55"
"G10090_6857","100042503","Ndufb4b"
"G10090_19346","100042555","Il11ra3"
"G10090_13851","100042578","Gm20929"
"G10090_5625","100042591","Vmn2r31"
"G10090_29765","100042594","Gm20931"
"G10090_16240","100042688",""
"G10090_9801","100042698","Gm3973"
"G10090_25030","100042715","Gm3985"
"G10090_7961","100042776","Eif1ad6"
"G10090_33562","100042782","Fthl17d"
"G10090_30174","100042784","Prdm11"
"G10090_27398","100042807","Eif3j2"
"G10090_23546","100042849","Rbmyf1"
"G10090_31836","100042855","Gm10267"
"G10090_4570","100042856","Gvin2"
"G10090_26631","100042874","Rbmyf2"
"G10090_23412","100042881","Rbmyf3"
"G10090_14658","100042891","Vmn2r47"
"G10090_3089","100042894","Vmn2r46"
"G10090_33180","100042922","H2al1a"
"G10090_4875","100042927","H2al1b"
"G10090_12708","100042929","H2al1c"
"G10090_20870","100042931","H2al1d"
"G10090_26597","100042939","H2al1f"
"G10090_29538","100042943","H2al1g"
"G10090_25645","100042944","H2al1h"
"G10090_28616","100042946","H2al1i"
"G10090_24945","100042960","Gm4131"
"G10090_20142","100042976","Vmn1r246"
"G10090_4439","100043034","Rex2"
"G10090_28501","100043039","Sec61g-ps1"
"G10090_29829","100043061","Vmn1r256"
"G10090_21392","100043123","Cd300ld4"
"G10090_29151","100043125","Cd300ld5"
"G10090_16112","100043133","Zfp696"
"G10090_33494","100043173",""
"G10090_26789","100043188","Spopfm2"
"G10090_20013","100043207","Amy2a1"
"G10090_31460","100043224","Alyreffm4"
"G10090_30055","100043231","Alyreffm6"
"G10090_31188","100043235","Alyreffm7"
"G10090_15850","100043239","Alyreffm8"
"G10090_11474","100043247","Alyreffm9"
"G10090_17540","100043254","Nps"
"G10090_32397","100043272","Inafm2"
"G10090_8982","100043314","Tigit"
"G10090_9466","100043332","Ankrd66"
"G10090_20136","100043348","Gm10045"
"G10090_4507","100043381","Gm14308"
"G10090_22846","100043387","Gm14305"
"G10090_7531","100043456","Hsd3b8"
"G10090_12353","100043461","Hsd3b9"
"G10090_22400","100043468","Zfp955b"
"G10090_22973","100043474","Or10h5"
"G10090_19330","100043497","Nat8f7"
"G10090_18947","100043507","Gng5-ps"
"G10090_4203","100043597","Srcap"
"G10090_22298","100043617","Gm4553"
"G10090_17635","100043627","Krtap5-20"
"G10090_26645","100043629","Gm10013"
"G10090_14452","100043645","Gm4567"
"G10090_11654","100043665","Gm10662"
"G10090_24222","100043674","Rbx1-ps"
"G10090_26655","100043684","Amy2a4"
"G10090_32775","100043686","Amy2a3"
"G10090_31445","100043688","Amy2a2"
"G10090_9593","100043757","Zfp831"
"G10090_32243","100043771","Josd1-ps"
"G10090_13510","100043772","Zfp850"
"G10090_24366","100043809","Frg2f11"
"G10090_23757","100043811","Frg2f12"
"G10090_20783","100043813","Rps27rt"
"G10090_31779","100043814","Frg2f13"
"G10090_11334","100043861","Klrb1"
"G10090_8525","100043868","Scgb1b30"
"G10090_4639","100043876","Gm4705"
"G10090_2723","100043899","R3hdml"
"G10090_31425","100043914","Zfp968"
"G10090_8356","100043915","Gm4724"
"G10090_11867","100043920","Spata31f1d"
"G10090_29481","100043921",""
"G10090_30448","100044193","Gm20939"
"G10090_22149","100044509","Tgfbr3l"
"G10090_5028","100044627",""
"G10090_32183","100044633","Gm13080"
"G10090_31050","100045125","Gm17768"
"G10090_14095","100045778","Rnf223"
"G10090_27655","100045792","Ect2l"
"G10090_11794","100046950","Gm17778"
"G10090_18964","100047671","Cd200l2"
"G10090_4080","100048534","Cfap43"
"G10090_31426","100048644","Pet117"
"G10090_1990","100048658","Ddx43"
"G10090_13882","100048884","Mup18"
"G10090_6636","100061","Lrrc19"
"G10090_1042","100072","Camta1"
"G10090_29060","100073351","Yy2"
"G10090_27938","100087","Kti12"
"G10090_24555","100088","Rcc1"
"G10090_12346","100090","Zbtb48"
"G10090_8990","100101806","Srp54c"
"G10090_25260","100101807","Fam177a2"
"G10090_28122","100101919","Dnah7c"
"G10090_29229","100102","Pcsk9"
"G10090_21651","100113398","Adat3"
"G10090_12930","100121","Tdrd7"
"G10090_21475","100125586","Vmn2r2"
"G10090_13081","100126226","Krt83"
"G10090_4682","100126824","Sco2"
"G10090_16467","100129","Gpr153"
"G10090_26544","100135654","Rhox3c"
"G10090_24192","100135657","Rhox3e"
"G10090_31902","100141474","4933428G20Rik"
"G10090_4878","100155","Shoc1"
"G10090_20494","100163","Pafah2"
"G10090_12561","100169","Phactr4"
"G10090_5358","100169864","Gm44504"
"G10090_23286","100169868","Gm3173"
"G10090_24431","100169871","Gm10910"
"G10090_22948","100170401","EU599041"
"G10090_15601","100177","Zmym6"
"G10090_6753","100182","Akna"
"G10090_19377","100188919","Israa"
"G10090_8423","100189605","Mup19"
"G10090_21764","100191037","Krtap10-4"
"G10090_13754","100198","H6pd"
"G10090_19163","100201","Tmem64"
"G10090_25245","100206","Adprs"
"G10090_11556","100210","Gpn2"
"G10090_14626","100213","Rusc2"
