"st_gene_id","ENTREZID","SYMBOL"
"G10090_47","18969","Pola2"
"G10090_8101","18970","Polb"
"G10090_17720","18971","Pold1"
"G10090_19264","18972","Pold2"
"G10090_19767","18973","Pole"
"G10090_13118","18974","Pole2"
"G10090_5713","18975","Polg"
"G10090_4722","18976","Pomc"
"G10090_11759","18979","Pon1"
"G10090_8738","18983","Cnot7"
"G10090_3587","18984","Por"
"G10090_24441","18985","Pou2af1"
"G10090_15382","18986","Pou2f1"
"G10090_8702","18987","Pou2f2"
"G10090_17492","18988","Pou2f3"
"G10090_29918","18991","Pou3f1"
"G10090_27143","18992","Pou3f2"
"G10090_9897","18993","Pou3f3"
"G10090_29274","18994","Pou3f4"
"G10090_19415","18996","Pou4f1"
"G10090_30731","18997","Pou4f2"
"G10090_31544","18999","Pou5f1"
"G10090_8123","19009","Pou6f1"
"G10090_2667","19011","Endou"
"G10090_19582","19012","Plpp1"
"G10090_9502","19013","Ppara"
"G10090_18181","19014","Med1"
"G10090_29720","19015","Ppard"
"G10090_4761","19016","Pparg"
"G10090_3169","19017","Ppargc1a"
"G10090_22200","19018","Scand1"
"G10090_16844","19023","Ppef2"
"G10090_5937","19024","Ppfibp2"
"G10090_14107","19025","Ctsa"
"G10090_12465","19027","Sypl1"
"G10090_1886","19035","Ppib"
"G10090_16969","19038","Ppic"
"G10090_24417","19039","Lgals3bp"
"G10090_26463","19041","Ppl"
"G10090_15195","19042","Ppm1a"
"G10090_2601","19043","Ppm1b"
"G10090_3733","19044","Ppox"
"G10090_32993","19045","Ppp1ca"
"G10090_28004","19046","Ppp1cb"
"G10090_1394","19047","Ppp1cc"
"G10090_12726","19049","Ppp1r1b"
"G10090_14392","19052","Ppp2ca"
"G10090_27483","19053","Ppp2cb"
"G10090_3539","19054","Ppp2r3d"
"G10090_1377","19055","Ppp3ca"
"G10090_6916","19056","Ppp3cb"
"G10090_15397","19057","Ppp3cc"
"G10090_19880","19058","Ppp3r1"
"G10090_7283","19059","Ppp3r2"
"G10090_7849","19060","Ppp5c"
"G10090_18117","19062","Inpp5k"
"G10090_16905","19063","Ppt1"
"G10090_13558","19064","Ppy"
"G10090_10715","19065","Npy4r"
"G10090_5949","19069","Nup88"
"G10090_2078","19070","Mob4"
"G10090_29358","19072","Prep"
"G10090_14588","19073","Srgn"
"G10090_32052","19074","Prg2"
"G10090_8340","19075","Prim1"
"G10090_21821","19076","Prim2"
"G10090_21657","19079","Prkab1"
"G10090_16560","19082","Prkag1"
"G10090_12749","19084","Prkar1a"
"G10090_14362","19085","Prkar1b"
"G10090_33074","19087","Prkar2a"
"G10090_25462","19088","Prkar2b"
"G10090_8762","19089","Prkcsh"
"G10090_5882","19090","Prkdc"
"G10090_21156","19091","Prkg1"
"G10090_10062","19092","Prkg2"
"G10090_2419","19094","Mapk11"
"G10090_9896","19099","Mapk8ip1"
"G10090_8014","19106","Eif2ak2"
"G10090_16335","19108","Prkx"
"G10090_27197","19109","Prl"
"G10090_13834","19111","Prl6a1"
"G10090_16993","19113","Prl7a1"
"G10090_1389","19116","Prlr"
"G10090_7845","19118","Prm1"
"G10090_17893","19119","Prm2"
"G10090_23418","19120","Prm3"
"G10090_8973","19122","Prnp"
"G10090_14673","19123","Proc"
"G10090_28667","19124","Procr"
"G10090_922","19125","Prodh"
"G10090_7230","19126","Prom1"
"G10090_25418","19127","Prop1"
"G10090_5940","19128","Pros1"
"G10090_12732","19130","Prox1"
"G10090_19318","19132","Prph"
"G10090_26990","19133","Prph2"
"G10090_4023","19134","Prpf4b"
"G10090_8626","19139","Prps1"
"G10090_8619","19141","Lgmn"
"G10090_29912","19142","Prss12"
"G10090_18305","19143","St14"
"G10090_8882","19144","Klk6"
"G10090_21429","19146","Tmprss15"
"G10090_22382","19152","Prtn3"
"G10090_12301","19153","Prx"
"G10090_9751","19155","Npepps"
"G10090_3666","19156","Psap"
"G10090_11673","19157","Cyth1"
"G10090_1768","191578","Helq"
"G10090_14001","19158","Cyth2"
"G10090_13477","19159","Cyth3"
"G10090_14749","19164","Psen1"
"G10090_7166","19165","Psen2"
"G10090_22237","19166","Psma2"
"G10090_2662","19167","Psma3"
"G10090_26406","19170","Psmb1"
"G10090_6841","19171","Psmb10"
"G10090_33812","19172","Psmb4"
"G10090_16961","19173","Psmb5"
"G10090_2582","19175","Psmb6"
"G10090_8692","19177","Psmb7"
"G10090_3942","19179","Psmc1"
"G10090_30630","19181","Psmc2"
"G10090_33786","19182","Psmc3"
"G10090_8660","19183","Psmc3ip"
"G10090_3188","19184","Psmc5"
"G10090_28127","19185","Psmd4"
"G10090_25808","19186","Psme1"
"G10090_3159","19188","Psme2"
"G10090_22698","19192","Psme3"
"G10090_22060","19193","Pipox"
"G10090_30209","19194","Bpifa2"
"G10090_32494","19197","Pspn"
"G10090_14605","19200","Pstpip1"
"G10090_4931","19201","Pstpip2"
"G10090_32348","19204","Ptafr"
"G10090_7359","19205","Ptbp1"
"G10090_1513","19206","Ptch1"
"G10090_9879","19207","Ptch2"
"G10090_13866","19208","Ptcra"
"G10090_6244","19210","Ptdss1"
"G10090_28840","19211","Pten"
"G10090_3034","192113","Atp12a"
"G10090_16964","192119","Dicer1"
"G10090_11488","19212","Pter"
"G10090_20557","192120","Bspry"
"G10090_14231","192136","Sugct"
"G10090_11517","19214","Ptgdr"
"G10090_18576","192140","Tmc2"
"G10090_5631","19215","Ptgds"
"G10090_23368","192156","Mvd"
"G10090_15071","192157","Socs7"
"G10090_27663","192159","Prpf8"
"G10090_19149","19216","Ptger1"
"G10090_28056","192160","Casc3"
"G10090_8015","192161","Pcdha9"
"G10090_33440","192163","Pcdha3"
"G10090_25156","192164","Pcdha12"
"G10090_12458","192166","Sardh"
"G10090_527","192167","Nlgn1"
"G10090_21405","192169","Ufsp2"
"G10090_11786","19217","Ptger2"
"G10090_29428","192170","Eif4a3"
"G10090_16189","192173","Mcrip1"
"G10090_28495","192174","Rwdd4a"
"G10090_7266","192176","Flna"
"G10090_3469","19218","Ptger3"
"G10090_7945","192185","Nadk"
"G10090_10046","192187","Stab1"
"G10090_9073","192188","Stab2"
"G10090_22695","19219","Ptger4"
"G10090_2807","192190","Pkhd1l1"
"G10090_26942","192191","Med9"
"G10090_9428","192192","Shkbp1"
"G10090_13260","192193","Edem1"
"G10090_20132","192194","Btnl10"
"G10090_7800","192195","Ash1l"
"G10090_11244","192196","Luc7l2"
"G10090_458","192197","Bcas3"
"G10090_28691","192198","Lrrc4"
"G10090_20669","192199","Rspo1"
"G10090_20931","19220","Ptgfr"
"G10090_23408","192200","Wfdc12"
"G10090_24864","19221","Ptgfrn"
"G10090_17652","192212","Prom2"
"G10090_33508","192216","Tmem47"
"G10090_15757","19222","Ptgir"
"G10090_29234","19223","Ptgis"
"G10090_2028","192231","Hexim1"
"G10090_6028","192232","Hps4"
"G10090_10891","192236","Hps1"
"G10090_2415","19224","Ptgs1"
"G10090_16411","19225","Ptgs2"
"G10090_15752","19227","Pthlh"
"G10090_6388","19228","Pth1r"
"G10090_4415","192285","Phf21a"
"G10090_13922","192287","Slc25a36"
"G10090_30048","192289","Tmlhe"
"G10090_3128","19229","Ptk2b"
"G10090_9949","192292","Nrbp1"
"G10090_20315","19230","Twf1"
"G10090_8776","19231","Ptma"
"G10090_3130","19240","Tmsb10"
"G10090_19335","19241","Tmsb4x"
"G10090_14414","19242","Ptn"
"G10090_13018","19243","Ptp4a1"
"G10090_6756","19244","Ptp4a2"
"G10090_9300","19245","Ptp4a3"
"G10090_7998","19246","Ptpn1"
"G10090_12316","19247","Ptpn11"
"G10090_22030","19248","Ptpn12"
"G10090_29116","19249","Ptpn13"
"G10090_10113","19250","Ptpn14"
"G10090_26940","19252","Dusp1"
"G10090_19296","19253","Ptpn18"
"G10090_4850","19255","Ptpn2"
"G10090_15937","19256","Ptpn20"
"G10090_604","19258","Ptpn4"
"G10090_15450","19259","Ptpn5"
"G10090_5998","19260","Ptpn22"
"G10090_2197","19261","Sirpa"
"G10090_21548","19262","Ptpra"
"G10090_26340","19263","Ptprb"
"G10090_15399","19264","Ptprc"
"G10090_9804","19265","Ptprcap"
"G10090_23942","192650","Cabp7"
"G10090_2810","192651","Zfp286"
"G10090_4909","192652","Wdr81"
"G10090_4662","192653","Ttc36"
"G10090_6130","192654","Pla2g15"
"G10090_1409","192656","Ripk2"
"G10090_9644","192657","Ell2"
"G10090_12216","192658","Rfpl4"
"G10090_105","19266","Ptprd"
"G10090_17659","192662","Arhgdia"
"G10090_25301","192663","Abcg4"
"G10090_8088","19267","Ptpre"
"G10090_26619","192678","Rassf3"
"G10090_1565","19268","Ptprf"
"G10090_13565","19270","Ptprg"
"G10090_9103","19271","Ptprj"
"G10090_4255","19272","Ptprk"
"G10090_5581","19273","Ptpru"
"G10090_22401","192734","Lrrc75b"
"G10090_1296","19274","Ptprm"
"G10090_1085","19275","Ptprn"
"G10090_16165","19276","Ptprn2"
"G10090_3910","19277","Ptpro"
"G10090_3777","192775","Kcnh6"
"G10090_813","192786","Rapgef6"
"G10090_9653","19279","Ptprr"
"G10090_4953","19280","Ptprs"
"G10090_9006","19281","Ptprt"
"G10090_3891","19283","Ptprz1"
"G10090_27037","19285","Cavin1"
"G10090_21477","19286","Pts"
"G10090_13996","19288","Ptx3"
"G10090_14798","19289","Igdcc3"
"G10090_5569","192897","Itgb4"
"G10090_25297","19290","Pura"
"G10090_20672","19291","Purb"
"G10090_3688","19293","Pvalb"
"G10090_29290","19294","Nectin2"
"G10090_724","192950","Nacad"
"G10090_1439","192970","Dhrs11"
"G10090_5527","192976","Lrrc75a"
"G10090_2324","19298","Pex19"
"G10090_20820","192986","Cyb5d2"
"G10090_4478","19299","Abcd3"
"G10090_14961","19300","Abcd4"
"G10090_20058","193003","Pirt"
"G10090_21844","19301","Pxmp2"
"G10090_1680","19302","Pex2"
"G10090_9792","19303","Pxn"
"G10090_29404","193034","Trpv1"
"G10090_29619","193043","Zfp3"
"G10090_4008","19305","Pex5"
"G10090_22435","19309","Pygm"
"G10090_14248","193116","Slu7"
"G10090_13147","19317","Qki"
"G10090_30757","19324","Rab1a"
"G10090_3363","19325","Rab10"
"G10090_17504","19326","Rab11b"
"G10090_4619","19328","Rab12"
"G10090_13709","193286","Msantd5l"
"G10090_27721","19329","Rab17"
"G10090_17167","19330","Rab18"
"G10090_1232","19331","Rab19"
"G10090_10065","19332","Rab20"
"G10090_29683","19334","Rab22a"
"G10090_5423","19335","Rab23"
"G10090_20321","19336","Rab24"
"G10090_15770","19337","Rab33a"
"G10090_31005","19338","Rab33b"
"G10090_5938","193385","Ripor2"
"G10090_9768","19339","Rab3a"
"G10090_26430","19340","Rab3d"
"G10090_17939","19341","Rab4a"
"G10090_28551","19342","Rab4b"
"G10090_15033","19344","Rab5b"
"G10090_10261","19345","Rab5c"
"G10090_2881","193452","Zfp184"
"G10090_19345","19346","Rab6a"
"G10090_11301","19347","Dennd5a"
"G10090_12548","19348","Kif20a"
"G10090_5248","19349","Rab7"
"G10090_3729","19352","Rabggtb"
"G10090_20934","19353","Rac1"
"G10090_32153","19354","Rac2"
"G10090_13815","19355","Rad1"
"G10090_16001","19356","Rad17"
"G10090_4391","19357","Rad21"
"G10090_17284","19358","Rad23a"
"G10090_3911","19359","Rad23b"
"G10090_19289","19360","Rad50"
"G10090_33832","19361","Rad51"
"G10090_3954","19362","Rad51ap1"
"G10090_3121","19363","Rad51b"
"G10090_5943","19364","Rad51d"
"G10090_7929","19365","Rad52"
"G10090_11742","19366","Rad54l"
"G10090_7735","19367","Rad9a"
"G10090_17705","193670","Rnf185"
"G10090_24601","19373","Rag1"
"G10090_29518","193736","Zbtb12"
"G10090_22740","19374","Rag2"
"G10090_21456","193740","Hspa1a"
"G10090_10945","193742","Abhd16a"
"G10090_4808","19376","Rab34"
"G10090_15472","19377","Rai1"
"G10090_27244","19378","Aldh1a2"
"G10090_14834","193796","Kdm4b"
"G10090_22009","193813","Mcfd2"
"G10090_1669","19383","Raly"
"G10090_30725","193838","Eme2"
"G10090_7262","19384","Ran"
"G10090_25303","19385","Ranbp1"
"G10090_28802","19386","Ranbp2"
"G10090_4307","19387","Rangap1"
"G10090_9579","19395","Rasgrp2"
"G10090_24374","19400","Rapsn"
"G10090_10378","19401","Rara"
"G10090_12325","19411","Rarg"
"G10090_3010","194126","Mtmr11"
"G10090_19719","19414","Rasa3"
"G10090_1901","19415","Rasal1"
"G10090_22091","19416","Rasd1"
"G10090_13039","19417","Rasgrf1"
"G10090_3695","19418","Rasgrf2"
"G10090_20212","19419","Rasgrp1"
"G10090_29931","194219","Slfnl1"
"G10090_1181","194231","Cnksr1"
"G10090_17679","194237","Rimkla"
"G10090_5559","194268","Airim"
"G10090_19019","19428","Rasl2-9"
"G10090_9970","194309","Vps37d"
"G10090_21667","19434","Rax"
"G10090_7249","194352","Trpv5"
"G10090_7812","194388","Tet3"
"G10090_16663","194401","Mical3"
"G10090_8022","194590","Reps2"
"G10090_29953","194597","Tmprss11a"
"G10090_28695","194604","Serpina16"
"G10090_24234","194655","Klf11"
"G10090_6697","194744","Slc25a43"
"G10090_16226","194908","Pld6"
"G10090_4185","194952","Jmjd4"
"G10090_20578","194974","Sun3"
"G10090_7758","195018","Zzef1"
"G10090_32746","195040","Tmem199"
"G10090_14595","195046","Nlrp1a"
"G10090_6865","195208","Dcdc2a"
"G10090_1221","195209","Zfp469"
"G10090_19749","195236","Pom121l2"
"G10090_26533","195333","Gsc2"
"G10090_7028","195359","Trim40"
"G10090_21292","195434","Utp14b"
"G10090_7470","195522","Zfp691"
"G10090_20855","195531","Zfp982"
"G10090_25517","195564","Skint3"
"G10090_2372","195646","Hs3st2"
"G10090_9625","195726","Scml1"
"G10090_14621","195727","Nhs"
"G10090_14299","195733","Grhl1"
"G10090_8242","19645","Rb1"
"G10090_19534","19646","Rbbp4"
"G10090_22849","19647","Rbbp6"
"G10090_9543","19649","Robo3"
"G10090_5647","19650","Rbl1"
"G10090_13968","19651","Rbl2"
"G10090_7692","19652","Rbm3"
"G10090_6732","19653","Rbm4"
"G10090_2986","19654","Rbm6"
"G10090_7702","19655","Rbmx"
"G10090_21721","19656","Rbmxl1"
"G10090_82","19657","Rbmy"
"G10090_24825","19659","Rbp1"
"G10090_19421","19660","Rbp2"
"G10090_15670","19661","Rbp3"
"G10090_25463","19662","Rbp4"
"G10090_931","19663","Rbpms"
"G10090_6812","19664","Rbpj"
"G10090_26095","19668","Rbpjl"
"G10090_599","19671","Rce1"
"G10090_22866","19672","Rcn1"
"G10090_16995","19674","Rcvrn"
"G10090_3720","19679","Pitpnm2"
"G10090_639","19682","Rdh5"
"G10090_23539","19683","Rdh16"
"G10090_30890","19684","Rdx"
"G10090_2962","19687","Rfc1"
"G10090_6138","19691","Recql"
"G10090_33015","19692","Reg1"
"G10090_16869","19695","Reg3g"
"G10090_28559","19696","Rel"
"G10090_7762","19697","Rela"
"G10090_5895","19698","Relb"
"G10090_7426","19699","Reln"
"G10090_33173","19700","Rem1"
"G10090_8634","19701","Ren1"
"G10090_3841","19703","Renbp"
"G10090_2568","19704","Upf1"
"G10090_6375","19707","Reps1"
"G10090_7550","19708","Dpf2"
"G10090_30400","19711","Resp18"
"G10090_17095","19712","Rest"
"G10090_805","19713","Ret"
"G10090_8781","19714","Rev3l"
"G10090_13629","19716","Bex1"
"G10090_30139","19718","Rfc2"
"G10090_11015","19719","Rfng"
"G10090_14695","19720","Trim27"
"G10090_4796","19724","Rfx1"
"G10090_24997","19725","Rfx2"
"G10090_1644","19726","Rfx3"
"G10090_28125","19727","Rfxank"
"G10090_15723","19729","Slc50a1"
"G10090_16081","19730","Ralgds"
"G10090_3480","19731","Rgl1"
"G10090_16377","19732","Rgl2"
"G10090_22282","19733","Rgn"
"G10090_14121","19734","Rgs16"
"G10090_9703","19735","Rgs2"
"G10090_3385","19736","Rgs4"
"G10090_13076","19737","Rgs5"
"G10090_5291","19739","Rgs9"
"G10090_4244","19743","Rhag"
"G10090_18075","19744","Rheb"
"G10090_31587","19746","Rhd"
"G10090_28646","19752","Rnase1"
"G10090_15317","19762","Rit2"
"G10090_27809","19763","Ring1"
"G10090_12462","19765","Ralbp1"
"G10090_25050","19766","Ripk1"
"G10090_4349","19769","Rit1"
"G10090_6454","19771","Rlbp1"
"G10090_22151","19773","Rln1"
"G10090_18979","19775","Xpr1"
"G10090_8766","19777","Uri1"
"G10090_22099","19819","Rnaseh1"
"G10090_7348","19820","Rlim"
"G10090_19374","19821","Rnf2"
"G10090_1518","19822","Rnf4"
"G10090_1070","19823","Rnf7"
"G10090_6517","19824","Trim10"
"G10090_5424","19826","Rnps1"
"G10090_5553","19876","Robo1"
"G10090_18590","19877","Rock1"
"G10090_22185","19878","Rock2"
"G10090_15206","19879","Slc22a8"
"G10090_2474","19881","Rom1"
"G10090_9028","19882","Mst1r"
"G10090_6327","19883","Rora"
"G10090_6373","19885","Rorc"
"G10090_13473","19886","Ros1"
"G10090_22528","19888","Rp1"
"G10090_11974","19889","Rp2"
"G10090_20920","19891","Rpa2"
"G10090_1701","19893","Rpgr"
"G10090_559","19894","Rph3a"
"G10090_22005","19895","Rpia"
"G10090_18456","19896","Rpl10a"
"G10090_11115","19899","Rpl18"
"G10090_10550","19921","Rpl19"
"G10090_9559","19933","Rpl21"
"G10090_1989","19934","Rpl22"
"G10090_16224","19935","Mrpl23"
"G10090_27001","19941","Rpl26"
"G10090_16210","19942","Rpl27"
"G10090_31758","19943","Rpl28"
"G10090_6637","19944","Rpl29"
"G10090_15130","19946","Rpl30"
"G10090_30536","19951","Rpl32"
"G10090_28534","19981","Rpl37a"
"G10090_13044","19982","Rpl36a"
"G10090_13787","19988","Rpl6"
"G10090_26154","19989","Rpl7"
"G10090_33819","20005","Rpl9"
"G10090_10318","20014","Rpn2"
"G10090_9241","20016","Polr1c"
"G10090_22411","20017","Polr1b"
"G10090_14974","20018","Polr1d"
"G10090_31669","20019","Polr1a"
"G10090_30946","20020","Polr2a"
"G10090_26367","20021","Polr2c"
"G10090_18644","20022","Polr2j"
"G10090_10223","20024","Sub1"
"G10090_13455","20028","Pdc"
"G10090_26266","20042","Rps12"
"G10090_30913","20044","Rps14"
"G10090_22782","20054","Rps15"
"G10090_32020","20055","Rps16"
"G10090_23117","20068","Rps17"
"G10090_32865","20084","Rps18"
"G10090_603","20085","Rps19"
"G10090_2018","20088","Rps24"
"G10090_13335","20090","Rps29"
"G10090_32929","20091","Rps3a1"
"G10090_7726","20102","Rps4x"
"G10090_11192","20103","Rps5"
"G10090_33009","20104","Rps6"
"G10090_5059","20111","Rps6ka1"
"G10090_5868","20112","Rps6ka2"
"G10090_32561","20115","Rps7"
"G10090_21599","20116","Rps8"
"G10090_26315","20128","Trim30a"
"G10090_13467","20129","Rptn"
"G10090_24324","20130","Rras"
"G10090_29127","20132","Rrh"
"G10090_32615","20133","Rrm1"
"G10090_1285","20135","Rrm2"
"G10090_3504","20147","Rs1"
"G10090_11131","20148","Dhrs3"
"G10090_23083","20163","Rsu1"
"G10090_15880","20166","Rtkn"
"G10090_23290","20167","Rtn2"
"G10090_8708","20168","Rtn3"
"G10090_31877","20170","Hps6"
"G10090_11493","20174","Ruvbl2"
"G10090_22937","20181","Rxra"
"G10090_3953","20182","Rxrb"
"G10090_19533","20183","Rxrg"
"G10090_7909","20184","Uimc1"
"G10090_260","20185","Ncor1"
"G10090_14720","20186","Nr1h4"
"G10090_7210","20187","Ryk"
"G10090_5103","20190","Ryr1"
"G10090_6139","20191","Ryr2"
"G10090_12508","20192","Ryr3"
"G10090_17286","20193","S100a1"
"G10090_27063","20194","S100a10"
"G10090_24727","20195","S100a11"
"G10090_29188","20196","S100a13"
"G10090_8488","20197","S100a3"
"G10090_17441","20198","S100a4"
"G10090_652","20199","S100a5"
"G10090_33856","20200","S100a6"
"G10090_31793","20201","S100a8"
"G10090_9689","20202","S100a9"
"G10090_14267","20203","S100b"
"G10090_26083","20204","Prrx2"
"G10090_10484","20208","Saa1"
"G10090_665","20209","Saa2"
"G10090_18458","20210","Saa3"
"G10090_20443","20211","Saa4"
"G10090_16894","20215","Sag"
"G10090_4108","20216","Acsm3"
"G10090_13735","20218","Khdrbs1"
"G10090_18987","20220","Sap18"
"G10090_8396","20222","Sf3a2"
"G10090_10296","20224","Sar1a"
"G10090_12212","20226","Sars1"
"G10090_29203","20227","Sart1"
"G10090_20604","20229","Sat1"
"G10090_744","20230","Satb1"
"G10090_560","20238","Atxn1"
"G10090_20107","20239","Atxn2"
"G10090_33203","20249","Scd1"
"G10090_23389","20250","Scd2"
"G10090_20799","20254","Scg2"
"G10090_7270","20255","Scg3"
"G10090_18008","20256","Clec11a"
"G10090_16875","20257","Stmn2"
"G10090_14556","20259","Scin"
"G10090_27290","20262","Stmn3"
"G10090_12525","20264","Scn10a"
"G10090_10643","20265","Scn1a"
"G10090_20882","20266","Scn1b"
"G10090_10918","20269","Scn3a"
"G10090_9046","20271","Scn5a"
"G10090_2320","20272","Scn7a"
"G10090_9047","20273","Scn8a"
"G10090_6101","20274","Scn9a"
"G10090_3455","20276","Scnn1a"
"G10090_1704","20277","Scnn1b"
"G10090_29742","20278","Scnn1g"
"G10090_8414","20280","Scp2"
"G10090_8220","20284","Scrg1"
"G10090_18958","20286","Zc3h7b"
"G10090_13361","20287","Sct"
"G10090_12448","20288","Msr1"
"G10090_418","20289","Scx"
"G10090_11720","20290","Ccl1"
"G10090_27905","20292","Ccl11"
"G10090_32382","20293","Ccl12"
"G10090_6653","20295","Ccl17"
"G10090_18998","20296","Ccl2"
"G10090_11342","20297","Ccl20"
"G10090_23183","20299","Ccl22"
"G10090_5121","20300","Ccl25"
"G10090_2016","20301","Ccl27a"
"G10090_20420","20302","Ccl3"
"G10090_15116","20303","Ccl4"
"G10090_30491","20304","Ccl5"
"G10090_32950","20305","Ccl6"
"G10090_545","20306","Ccl7"
"G10090_9059","20307","Ccl8"
"G10090_32374","20308","Ccl9"
"G10090_15404","20309","Cxcl15"
"G10090_10574","20310","Cxcl2"
"G10090_30788","20311","Cxcl5"
"G10090_8789","20312","Cx3cl1"
"G10090_15818","20315","Cxcl12"
"G10090_6290","20316","Sdf2"
"G10090_34016","20317","Serpinf1"
"G10090_20545","20318","Sdf4"
"G10090_16268","20319","Sfrp2"
"G10090_8117","20320","Nptn"
"G10090_3357","20321","Frrs1"
"G10090_8771","20322","Sord"
"G10090_25961","20324","Cavin2"
"G10090_18589","20333","Sec22b"
"G10090_10585","20334","Sec23a"
"G10090_7533","20335","Sec61g"
"G10090_10332","20336","Exoc4"
"G10090_10743","20338","Sel1l"
"G10090_23898","20339","Sele"
"G10090_13979","20340","Glg1"
"G10090_10341","20341","Selenbp1"
"G10090_27587","20342","Selenbp2"
"G10090_16722","20343","Sell"
"G10090_20864","20344","Selp"
"G10090_28179","20345","Selplg"
"G10090_6403","20346","Sema3a"
"G10090_4432","20347","Sema3b"
"G10090_33780","20348","Sema3c"
"G10090_33335","20349","Sema3e"
"G10090_7248","20350","Sema3f"
"G10090_10301","20351","Sema4a"
"G10090_28061","20352","Sema4b"
"G10090_4267","20353","Sema4c"
"G10090_10539","20354","Sema4d"
"G10090_4678","20355","Sema4f"
"G10090_4380","20356","Sema5a"
"G10090_5100","20357","Sema5b"
"G10090_12062","20358","Sema6a"
"G10090_5323","20359","Sema6b"
"G10090_786","20360","Sema6c"
"G10090_9518","20361","Sema7a"
"G10090_7073","20362","Septin8"
"G10090_5522","20363","Selenop"
"G10090_30166","20364","Selenow"
"G10090_15783","20365","Serf1"
"G10090_1365","20370","Sez6"
"G10090_26189","20371","Foxp3"
"G10090_14057","20375","Spi1"
"G10090_22128","20377","Sfrp1"
"G10090_24429","20378","Frzb"
"G10090_21073","20379","Sfrp4"
"G10090_373","20382","Srsf2"
"G10090_10615","20383","Srsf3"
"G10090_9173","20384","Srsf5"
"G10090_7103","20387","Sftpa1"
"G10090_33054","20388","Sftpb"
"G10090_17249","20389","Sftpc"
"G10090_9735","20390","Sftpd"
"G10090_16496","20391","Sgca"
"G10090_3306","20392","Sgce"
"G10090_9260","20393","Sgk1"
"G10090_14552","20394","Scg5"
"G10090_9239","20397","Sgpl1"
"G10090_142","20399","Sh2b1"
"G10090_9165","20400","Sh2d1a"
"G10090_1380","20401","Sh3bp1"
"G10090_4827","20402","Zfp106"
"G10090_4111","20403","Itsn2"
"G10090_13850","20404","Sh3gl2"
"G10090_19299","20405","Sh3gl1"
"G10090_22390","20408","Sh3gl3"
"G10090_24532","20409","Ostf1"
"G10090_1592","20410","Sorbs3"
"G10090_1558","20411","Sorbs1"
"G10090_27421","20415","Shbg"
"G10090_7594","20416","Shc1"
"G10090_30762","20418","Shc3"
"G10090_28877","20419","Shcbp1"
"G10090_18623","20420","Shd"
"G10090_16050","20422","Sem1"
"G10090_3049","20423","Shh"
"G10090_10186","20425","Shmt1"
"G10090_8888","20429","Shox2"
"G10090_6676","20430","Cyfip1"
"G10090_17985","20431","Pmel"
"G10090_29403","20437","Siah1a"
"G10090_24177","20438","Siah1b"
"G10090_6125","20439","Siah2"
"G10090_10147","20440","St6gal1"
"G10090_2287","20441","St3gal3"
"G10090_13401","20442","St3gal1"
"G10090_15691","20443","St3gal4"
"G10090_22245","20444","St3gal2"
"G10090_21172","20445","St6galnac1"
"G10090_27673","20446","St6galnac2"
"G10090_10965","20447","St6galnac3"
"G10090_16506","20448","St6galnac4"
"G10090_4188","20449","St8sia1"
"G10090_26953","20450","St8sia2"
"G10090_21055","20451","St8sia3"
"G10090_20779","20452","St8sia4"
"G10090_9122","20454","St3gal5"
"G10090_8432","20459","Ptk6"
"G10090_9802","20460","Stil"
"G10090_21918","20462","Tra2b"
"G10090_15089","20463","Cox7a2l"
"G10090_13679","20464","Sim1"
"G10090_7370","20465","Sim2"
"G10090_12680","20466","Sin3a"
"G10090_2181","20467","Sin3b"
"G10090_4802","20469","Sipa1"
"G10090_30722","20471","Six1"
"G10090_24272","20472","Six2"
"G10090_16523","20473","Six3"
"G10090_26111","20474","Six4"
"G10090_4815","20475","Six5"
"G10090_27881","20476","Six6"
"G10090_12775","20479","Vps4b"
"G10090_16324","20480","Clpb"
"G10090_17445","20481","Ski"
"G10090_2604","20482","Skil"
"G10090_609","20491","Sla"
"G10090_18229","20492","Slbp"
"G10090_7474","20493","Slc10a1"
"G10090_17459","20494","Slc10a2"
"G10090_30015","20495","Slc12a1"
"G10090_8696","20496","Slc12a2"
"G10090_6506","20497","Slc12a3"
"G10090_23508","20498","Slc12a4"
"G10090_15019","20499","Slc12a7"
"G10090_2179","20500","Slc13a2"
"G10090_15366","20501","Slc16a1"
"G10090_4342","20502","Slc16a2"
"G10090_7350","20503","Slc16a7"
"G10090_1427","20504","Slc17a1"
"G10090_4769","20505","Slc34a1"
"G10090_27078","20508","Slc18a3"
"G10090_1320","20509","Slc19a1"
"G10090_29020","20510","Slc1a1"
"G10090_24780","20511","Slc1a2"
"G10090_22690","20512","Slc1a3"
"G10090_17949","20513","Slc1a6"
"G10090_20067","20514","Slc1a5"
"G10090_19003","20515","Slc20a1"
"G10090_13440","20516","Slc20a2"
"G10090_25368","20517","Slc22a1"
"G10090_3268","20518","Slc22a2"
"G10090_32571","20519","Slc22a3"
"G10090_9813","20520","Slc22a5"
"G10090_25096","20521","Slc22a12"
"G10090_9182","20522","Slc23a1"
"G10090_6087","20523","Slc25a14"
"G10090_31865","20524","Slc25a17"
"G10090_16317","20525","Slc2a1"
"G10090_33845","20526","Slc2a2"
"G10090_15452","20527","Slc2a3"
"G10090_7885","20528","Slc2a4"
"G10090_18689","20529","Slc31a1"
"G10090_12100","20530","Slc31a2"
"G10090_20591","20531","Slc34a2"
"G10090_25521","20532","Slc3a1"
