"contrast","branch","gene_id","gene_symbol","logFC","PValue","FDR","rank_stat"
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000026699","ZNF180",0.314892043386821,0.093581599473144,0.163438936490458,1.02880953622843
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000009791","RSRC2",0.203553534473177,0.0936782286328187,0.163587526859234,1.02836132995817
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000003511","HP1BP3",0.167934660580995,0.0937894108917285,0.163741306036046,1.02784619201421
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000009384","INTS6",0.229934473808327,0.0938304232072231,0.163773502168495,1.02765632485354
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000002739","PHLPP2",0.287144005322797,0.0939290712233136,0.16392451513147,1.02719997197391
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000008135","CCDC138",0.243856428567713,0.093999322323946,0.16400670132993,1.02687527737936
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000012174","APOO",0.231575066713837,0.094179084768823,0.164228931165132,1.02604553434117
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000009834","ATXN2",0.195039593346951,0.0941871769554849,0.164228931165132,1.02600821988811
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000006508","ASH1L",0.276978019866825,0.0943000078498786,0.164369346687876,1.0254882711104
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000023908","ETAA1",0.252123179636496,0.0945585524191266,0.164703622252551,1.02429918495264
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000020856","PPME1",0.259376052559194,0.0946618359909369,0.164858016104221,1.02382507653187
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000013304","NAT10",0.164101806195385,0.094729022844426,0.164927983772396,1.02351694253713
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000026110","SRPK2",0.225251003393185,0.0947369440816304,0.164927983772396,1.02348062836772
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000014277","IRF1",0.360444204593445,0.0948912329294333,0.165167538244922,1.02277391050477
