"branch","contrast","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_size","leadingEdge_genes"
"trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_G2M_CHECKPOINT",8.47368564874349e-29,4.23684282437175e-27,1.39518713415833,0.663326210681308,2.88713596985875,184,81,"TPX2;CENPF;KIF23;EZH2;KIF11;CCNB2;NDC80;RACGAP1;KIF2C;TOP2A;STMN1;UBE2C;POLE;KIF4A;BUB1;KIF15;TTK;MYBL2;NUSAP1;GSPT1;CENPE;NEK2;PRC1;PLK4;CENPA;POLQ;EXO1;CDK1;SMC4;PBK;KIF22;MCM2;HSPA8;E2F1;CDC20;CDC7;SMC1A;MCM6;CCNA2;HMMR;H2AZ1;ODF2;CDC6;PRIM2;LMNB1;TROAP;KPNB1;SMARCC1;DDX39A;PLK1;CCNF;HNRNPD;G3BP1;CHAF1A;E2F2;CKS2;SLC38A1;STIL;HIF1A;ESPL1;SYNCRIP;HNRNPU;TRAIP;MAPK14;MCM3;DBF4;RAD54L;NCL;PAFAH1B1;MAD2L1;NUP50;FOXN3;CBX1;NOLC1;CHEK1;NASP;PRMT5;HUS1;E2F3;SAP30;AURKB"
"trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_E2F_TARGETS",2.41905376606046e-23,6.04763441515115e-22,1.25451347943706,0.624019414970602,2.71174529330688,182,79,"EZH2;CCNB2;RACGAP1;KIF2C;TOP2A;STMN1;MELK;POLE;KIF4A;BUB1B;DLGAP5;SPC24;DEPDC1;CIT;MYBL2;GSPT1;CENPE;CDCA8;ASF1B;PLK4;DIAPH3;CBX5;CDK1;CNOT9;SPAG5;SMC4;KIF22;DNMT1;MCM2;CDC20;MCM4;SMC1A;MCM6;CTPS1;TK1;E2F8;PRPS1;HMMR;H2AZ1;PAN2;PRIM2;LMNB1;GINS1;ZW10;TCF19;CDCA3;NCAPD2;DDX39A;PLK1;KIF18B;HNRNPD;CKS2;PCNA;DUT;TIMELESS;ESPL1;SYNCRIP;NOP56;MTHFD2;TUBB;MCM3;EIF2S1;MAD2L1;SLBP;DCLRE1B;NOLC1;SMC6;IPO7;CHEK1;NASP;RAD51AP1;BRCA1;HUS1;XRCC6;AURKB;RPA1;SSRP1;ATAD2;DONSON"
"trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_ADIPOGENESIS",6.22878212787233e-19,1.03813035464539e-17,1.12391496374483,-0.614204940993978,-2.49038826858233,175,82,"TST;SLC25A10;TALDO1;LIPE;CD302;CYP4B1;ECH1;CIDEA;RETSAT;CD151;BCKDHA;MTARC2;ACO2;CAT;LEP;GPX3;PPARG;LPL;FAH;SNCG;LTC4S;ADIG;PFKL;APOE;FABP4;CRAT;DHRS7B;IDH3G;ADIPOR2;TKT;ITIH5;SLC1A5;ACADS;MIGA2;EPHX2;DGAT1;NKIRAS1;COX8A;ADIPOQ;ACADL;SLC25A1;ABCB8;ALDOA;AGPAT3;PEX14;MGLL;ETFB;ELMOD3;HADH;STAT5A;ACAA2;ACLY;STOM;GBE1;ESRRA;ELOVL6;PTGER3;NDUFB7;POR;SORBS1;CYC1;ECHS1;DECR1;CDKN2C;CCNG2;SDHB;ITGA7;RMDN3;OMD;COL15A1;SLC5A6;SPARCL1;DHRS7;UQCR10;NABP1;GHITM;APLP2;UQCR11;DHCR7;RNF11;SAMM50;SOD1"
"trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_MYC_TARGETS_V1",5.45981662974427e-12,6.82477078718033e-11,0.887074988399873,0.513244816927192,2.21725826338633,176,88,"CDK2;GSPT1;TYMS;MCM2;CDC20;MCM4;RRM1;TCP1;MCM6;EPRS1;CTPS1;NCBP1;HDAC2;CCNA2;PSMD1;SF3B3;PPM1G;H2AZ1;DDX18;EIF4G2;DHX15;KPNB1;SMARCC1;CCT3;HNRNPD;G3BP1;STARD7;PCNA;DUT;APEX1;SYNCRIP;EIF3J;SRPK1;NOP56;HPRT1;HNRNPU;LDHA;IMPDH2;ETF1;EIF2S1;MAD2L1;XPOT;NOLC1;IARS1;FBL;NPM1;SNRPB2;EIF4A1;HSP90AB1;PSMA4;XRCC6;ILF2;PSMD7;PSMD14;RFC4;CUL1;EIF4E;COX5A;HNRNPR;HDGF;CCT7;HNRNPA2B1;EIF3B;CCT4;LSM2;EIF2S2;CSTF2;CDK4;COPS5;CCT2;PWP1;SSBP1;RSL1D1;PSMD8;TARDBP;DDX21;SSB;GNL3;PSMA1;SNRPA1;NAP1L1;PSMA6;USP1;NME1;PSMA2;SNRPD1;HSPD1;CLNS1A"
"trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_MITOTIC_SPINDLE",6.2644421002224e-11,6.2644421002224e-10,0.839088935621274,0.488756546410529,2.12394555763,182,56,"TPX2;CENPF;KIF23;KIF11;CCNB2;NDC80;RACGAP1;KIF2C;TOP2A;KIF4A;ANLN;DLGAP5;BUB1;KIF1B;KIF15;TTK;NUSAP1;FARP1;CENPE;NEK2;PRC1;CDK1;SMC4;KIF22;PALLD;RANBP9;FSCN1;SMC1A;KNTC1;LMNB1;FGD6;PLK1;CEP192;CDK5RAP2;ESPL1;CKAP5;NET1;ARHGEF12;MYO1E;NIN;MAPRE1;DLG1;ARHGAP29;PAFAH1B1;PKD2;ABR;BCR;CDC42BPA;ALS2;RAB3GAP1;CDC42;LRPPRC;KIF3C;RABGAP1;ECT2;CAPZB"
"trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_FATTY_ACID_METABOLISM",2.84643526456383e-08,2.37202938713653e-07,0.73376198835648,-0.521377603820633,-2.0280842905583,128,44,"FASN;AUH;ECH1;ALDH1A1;CIDEA;RETSAT;ACO2;GPD1;ACAA1;EPHX1;D2HGDH;LTC4S;ADH1C;HPGD;ALAD;CRAT;SDHA;IDH3G;ADIPOR2;ACOT8;GRHPR;ACADS;NTHL1;GABARAPL1;ACADL;MIF;ALDOA;DHCR24;MGLL;CBR3;GCDH;HSD17B10;HADH;ACAA2;MLYCD;FMO1;MDH1;GLUL;ECHS1;ELOVL5;PCBD1;INMT;PRDX6;DECR1"
"trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",6.51220563851331e-06,4.65157545608093e-05,0.610526878385931,0.464353342121161,1.90061512006629,103,42,"ALDH18A1;EIF2AK3;PDIA5;TARS1;SEC31A;KDELR3;SRPRA;WIPI1;SRPRB;EDEM1;HSPA5;SLC30A5;NOP56;HSP90B1;MTHFD2;CALR;SHC1;DNAJC3;EIF2S1;STC2;EIF4G1;XPOT;MTREX;NOLC1;IARS1;NPM1;EIF4A1;HYOU1;ASNS;FKBP14;ATF6;CEBPG;EIF4E;GOSR2;XBP1;BAG3;CNOT2;YWHAZ;PAIP1;ATF4;DNAJB9;ATF3"
"trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_BILE_ACID_METABOLISM",8.67663625067864e-06,5.42289765667415e-05,0.593325476396405,-0.533481668559875,-1.94142650679398,74,38,"LIPE;ALDH1A1;RETSAT;ABCD2;CAT;ABCA6;RXRG;GSTK1;TFCP2L1;PEX16;FDXR;EPHX2;CYP8B1;HACL1;PEX11A;DHCR24;CH25H;PAOX;MLYCD;PEX11G;NR3C2;SLC29A1;ABCA3;NEDD4;RXRA;CYP27A1;RBP1;ABCD1;HSD17B4;LONP2;PEX6;ACSL1;ISOC1;SOD1;APOA1;ABCA1;PXMP2;NUDT12"
"trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.30631992519464e-05,7.25733291774798e-05,0.593325476396405,-0.423389234165998,-1.71674615561388,171,52,"ECH1;RETSAT;BCKDHA;ALDH6A1;ACO2;CYB5R3;ACAA1;NDUFV1;SDHA;IDH3G;ACAT1;POLR2F;TIMM13;NDUFS8;COX17;COX8A;NQO2;SLC25A4;NDUFC2;ETFB;NDUFS6;SLC25A6;ACADSB;HSD17B10;RHOT2;ACAA2;LDHB;TIMM50;COX4I1;NDUFB7;PDK4;POR;CYB5A;CYC1;MDH1;ECHS1;DECR1;ACADVL;SDHB;SURF1;PMPCA;MRPL11;TIMM10;UQCR10;TCIRG1;UQCR11;MFN2;SLC25A20;MAOB;ATP5F1D;SDHD;ATP6AP1"
"trimmed","ACLT_untreated_t28_vs_Control","HALLMARK_MTORC1_SIGNALING",2.05246682822211e-05,9.67803051623798e-05,0.575610261071129,0.38326479060631,1.66551948077749,182,57,"BUB1;SYTL2;PSME3;ARPC5L;HMGCR;MCM2;MCM4;RPN1;HSPA4;EPRS1;PNP;YKT6;CACYBP;NIBAN1;ATP2A2;ABCF2;PLOD2;DDX39A;PLK1;SRD5A1;BHLHE40;ACTR3;USO1;EDEM1;CCNF;PPA1;TXNRD1;RIT1;PRDX1;HSPA5;GSR;HSP90B1;HPRT1;MTHFD2;CALR;LDHA;ETF1;PITPNB;UCHL5;HMGCS1;SERPINH1;ASNS;GCLC;PSMA4;VLDLR;GSK3B;GMPS;RPA1;PSMD14;PSMC2;MLLT11;HK2;STIP1;M6PR;XBP1;PSMD12;CDC25A"
