"contrast","branch","gene_id","gene_symbol","logFC","PValue","FDR","rank_stat"
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000034727","CCDC24",-1.30375664261664,5.08390900421334e-05,0.000566821536849855,-4.29380223139138
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000000691","COPS7A",-0.715238625761693,5.06980070931679e-05,0.000566087316840939,-4.29500911217458
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000054480","SHISA4",-1.09937979363259,5.06736612509871e-05,0.000566087316840939,-4.29521771612265
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000032556","ALDOA",-0.642670633763245,5.04417589520402e-05,0.000564130608799262,-4.29720977757386
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000010728","CPXM2",-1.9313415749799,5.0261742724468e-05,0.000563011937302401,-4.29876245719791
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000033745","ENSSSCG00000033745",-1.42569644806938,4.98428763822747e-05,0.000559214707615874,-4.30239690292786
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000031053","S100A1",-2.75695785296756,4.93300447179202e-05,0.000554794607341621,-4.30688849084767
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000025401","CDK10",-0.702743425481392,4.92431416298146e-05,0.000554262434968379,-4.30765424759757
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000030337","NYAP1",-1.24732419842217,4.89402638867913e-05,0.000551296520468908,-4.31033369325419
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000004928","CILP",-3.4971015585869,4.89367712901574e-05,0.000551296520468908,-4.31036468756135
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000024310","F13A1",-1.66390914729717,4.88160618355698e-05,0.00055122782082391,-4.31143725957815
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000039881","GLI4",-1.37486576458785,4.87164350447088e-05,0.000550546830908807,-4.31232449987145
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000039915","ENSSSCG00000039915",-1.41694452705495,4.87026555309142e-05,0.000550546830908807,-4.31244735806708
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000027986","ABCB8",-1.14697396149375,4.84877267944443e-05,0.000549292193022499,-4.31436817603648
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000017551","FAM117A",-0.972762271866685,4.84759677461848e-05,0.000549292193022499,-4.31447351215884
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000031531","TSPAN10",-1.70990519607199,4.84745435405983e-05,0.000549292193022499,-4.3144862717538
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000007774","CTF1",-1.51484894655486,4.83357502845969e-05,0.000549292193022499,-4.31573153574635
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000030511","LGR5",-4.47451213009947,4.82508290038891e-05,0.000548828682138469,-4.31649522058503
