"gene_id","signature_direction"
"ENSSSCG00000002388","down"
"ENSSSCG00000004454","down"
"ENSSSCG00000011579","down"
"ENSSSCG00000015332","down"
"ENSSSCG00000029275","down"
"ENSSSCG00000029944","down"
"ENSSSCG00000032556","down"
"ENSSSCG00000033787","down"
"ENSSSCG00000036145","down"
"ENSSSCG00000040779","down"
