"pathway","NES_untrimmed","pval_untrimmed","padj_untrimmed","size_untrimmed","NES_trimmed","pval_trimmed","padj_trimmed","size_trimmed","contrast","timepoint","delta_NES","abs_delta_NES","direction_same","is_target"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.925844472083384,0.672955974842767,0.747728860936408,151,0.95158502442177,0.597560975609756,0.71120374433231,151,"ACLT_untreated_t28_vs_Control","t28",0.0257405523383858,0.0257405523383858,TRUE,FALSE
"HALLMARK_KRAS_SIGNALING_DN",-1.53818009257354,0.00856191340694024,0.0203855081117625,76,-1.5927303007837,0.00384819825549009,0.0106894395985836,76,"ACLT_untreated_t28_vs_Control","t28",-0.0545502082101594,0.0545502082101594,TRUE,FALSE
"HALLMARK_KRAS_SIGNALING_UP",1.18484160858779,0.111111111111111,0.231481481481481,150,1.19249663637207,0.102719033232628,0.202937765751836,150,"ACLT_untreated_t28_vs_Control","t28",0.00765502778428306,0.00765502778428306,TRUE,FALSE
"HALLMARK_MITOTIC_SPINDLE",2.1691053498151,2.81093186203221e-11,2.81093186203221e-10,182,2.12394555763,6.2644421002224e-11,6.2644421002224e-10,182,"ACLT_untreated_t28_vs_Control","t28",-0.0451597921851032,0.0451597921851032,TRUE,FALSE
"HALLMARK_MTORC1_SIGNALING",1.69301204309707,2.22101228624724e-05,0.000100955103920329,182,1.66551948077749,2.05246682822211e-05,9.67803051623798e-05,182,"ACLT_untreated_t28_vs_Control","t28",-0.0274925623195796,0.0274925623195796,TRUE,FALSE
"HALLMARK_MYC_TARGETS_V1",2.22798356755626,6.15420203405356e-12,7.69275254256695e-11,176,2.21725826338633,5.45981662974427e-12,6.82477078718033e-11,176,"ACLT_untreated_t28_vs_Control","t28",-0.01072530416993,0.01072530416993,TRUE,FALSE
"HALLMARK_MYC_TARGETS_V2",1.01416347712245,0.406417112299465,0.549212313918196,53,1.0214123518591,0.426630434782609,0.576527614571093,53,"ACLT_untreated_t28_vs_Control","t28",0.0072488747366517,0.0072488747366517,TRUE,FALSE
"HALLMARK_MYOGENESIS",-1.59373356683542,0.000476822981048499,0.00170293921803035,154,-1.56769593366815,0.000629982827044354,0.00205488664075973,154,"ACLT_untreated_t28_vs_Control","t28",0.0260376331672647,0.0260376331672647,TRUE,FALSE
"HALLMARK_NOTCH_SIGNALING",-0.937767881886839,0.578125,0.693774131274131,32,-0.866960107567403,0.692176870748299,0.769085411942555,32,"ACLT_untreated_t28_vs_Control","t28",0.0708077743194361,0.0708077743194361,TRUE,FALSE
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",-1.71671649018491,2.22077661531406e-05,0.000100955103920329,171,-1.71674615561388,1.30631992519464e-05,7.25733291774798e-05,171,"ACLT_untreated_t28_vs_Control","t28",-2.96654289650977e-05,2.96654289650977e-05,TRUE,FALSE
"HALLMARK_P53_PATHWAY",-1.00364988931987,0.432748538011696,0.569405971068021,163,-1.02804905921838,0.369784172661871,0.513589128697042,164,"ACLT_untreated_t28_vs_Control","t28",-0.0243991698985109,0.0243991698985109,TRUE,FALSE
"HALLMARK_PANCREAS_BETA_CELLS",1.76249776249504,0.00520560578369129,0.0136989625886613,17,1.78343040244305,0.00607736548973272,0.0151934137243318,17,"ACLT_untreated_t28_vs_Control","t28",0.0209326399480156,0.0209326399480156,TRUE,FALSE
"HALLMARK_PEROXISOME",-1.72816886102572,0.000560370718910437,0.00186790239636812,80,-1.74073894405621,0.000252768773507231,0.000902745619668683,80,"ACLT_untreated_t28_vs_Control","t28",-0.0125700830304953,0.0125700830304953,TRUE,FALSE
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",1.36890399603463,0.0267608673879128,0.0608201531543473,88,1.39777629370016,0.0187680635485281,0.0426546898830183,88,"ACLT_untreated_t28_vs_Control","t28",0.0288722976655322,0.0288722976655322,TRUE,FALSE
"HALLMARK_PROTEIN_SECRETION",1.85046172574243,8.64958069695534e-05,0.000360399195706473,85,1.89975003370645,2.12916671357236e-05,9.67803051623798e-05,85,"ACLT_untreated_t28_vs_Control","t28",0.0492883079640187,0.0492883079640187,TRUE,FALSE
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",-1.25371494654116,0.136513157894737,0.25853889943074,41,-1.26328232122961,0.124584717607973,0.227034579112819,41,"ACLT_untreated_t28_vs_Control","t28",-0.0095673746884406,0.0095673746884406,TRUE,FALSE
"HALLMARK_SPERMATOGENESIS",1.62083412351778,0.00258418277602075,0.00760053757653163,62,1.67325106227094,0.00298877922830497,0.00879052714207344,62,"ACLT_untreated_t28_vs_Control","t28",0.0524169387531588,0.0524169387531588,TRUE,FALSE
"HALLMARK_TGF_BETA_SIGNALING",1.20930396618597,0.152454780361757,0.25853889943074,50,1.21807509367243,0.138964577656676,0.239594099408062,50,"ACLT_untreated_t28_vs_Control","t28",0.00877112748646103,0.00877112748646103,TRUE,FALSE
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.864545724442107,0.888178913738019,0.925186368477103,167,0.838413884004567,0.928802588996764,0.967502696871629,168,"ACLT_untreated_t28_vs_Control","t28",-0.0261318404375398,0.0261318404375398,TRUE,FALSE
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1.88347183009972,8.24423435696993e-06,5.8887388264071e-05,103,1.90061512006629,6.51220563851331e-06,4.65157545608093e-05,103,"ACLT_untreated_t28_vs_Control","t28",0.0171432899665689,0.0171432899665689,TRUE,FALSE
"HALLMARK_UV_RESPONSE_DN",1.44003819121367,0.00370282749629443,0.0102856319341512,133,1.44936762096705,0.00508793307832166,0.0133892975745307,133,"ACLT_untreated_t28_vs_Control","t28",0.00932942975337547,0.00932942975337547,TRUE,FALSE
"HALLMARK_UV_RESPONSE_UP",-1.11374008237782,0.233480176211454,0.343353200310961,127,-1.10583619963607,0.226865671641791,0.333625987708516,127,"ACLT_untreated_t28_vs_Control","t28",0.00790388274174925,0.00790388274174925,TRUE,FALSE
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",-0.925582980636208,0.58277027027027,0.693774131274131,36,-0.940899817081679,0.562814070351759,0.703517587939698,36,"ACLT_untreated_t28_vs_Control","t28",-0.015316836445471,0.015316836445471,TRUE,FALSE
"HALLMARK_XENOBIOTIC_METABOLISM",-1.7607558661599,2.11705205037161e-05,0.000100955103920329,144,-1.73402546032627,3.98452737295752e-05,0.00016602197387323,144,"ACLT_untreated_t28_vs_Control","t28",0.0267304058336302,0.0267304058336302,TRUE,FALSE
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.5134305219531,0.00111486912551945,0.00348396601724827,170,1.51751640059966,0.000657563725043115,0.00205488664075973,170,"ACLT_untreated_t28_vs_Control","t28",0.00408587864655918,0.00408587864655918,TRUE,TRUE
"HALLMARK_INFLAMMATORY_RESPONSE",1.0118052975041,0.38006230529595,0.527864312911042,146,0.996541421989804,0.45625,0.600328947368421,147,"ACLT_untreated_t28_vs_Control","t28",-0.0152638755142933,0.0152638755142933,TRUE,TRUE
"HALLMARK_ADIPOGENESIS",-2.06838737001921,2.07130671102049e-09,2.04439297175462e-08,175,-2.04325535823935,3.71133282492607e-09,3.71133282492607e-08,175,"ACLT_untreated_t7_vs_Control","t7",0.0251320117798572,0.0251320117798572,TRUE,FALSE
"HALLMARK_ALLOGRAFT_REJECTION",1.44599419126406,0.00493166315850952,0.0129780609434461,149,1.47430006976414,0.00377843219495961,0.0118076006092488,149,"ACLT_untreated_t7_vs_Control","t7",0.028305878500078,0.028305878500078,TRUE,FALSE
"HALLMARK_ANDROGEN_RESPONSE",1.10742612733412,0.24290780141844,0.328253785700594,83,1.07830426342435,0.29622641509434,0.389771598808342,83,"ACLT_untreated_t7_vs_Control","t7",-0.0291218639097692,0.0291218639097692,TRUE,FALSE
"HALLMARK_ANGIOGENESIS",1.52131318266311,0.0268270887333465,0.0558897681944719,31,1.50866127885529,0.0329960294200891,0.0663105518942673,31,"ACLT_untreated_t7_vs_Control","t7",-0.0126519038078154,0.0126519038078154,TRUE,FALSE
"HALLMARK_APICAL_JUNCTION",1.22922753996265,0.0887372013651877,0.138651877133106,152,1.22574588110099,0.0844036697247706,0.140672782874618,152,"ACLT_untreated_t7_vs_Control","t7",-0.00348165886166063,0.00348165886166063,TRUE,FALSE
"HALLMARK_APICAL_SURFACE",1.03177742596507,0.394686907020873,0.481325496366918,31,1.02280042646928,0.408396946564886,0.497977755308392,31,"ACLT_untreated_t7_vs_Control","t7",-0.00897699949579467,0.00897699949579467,TRUE,FALSE
"HALLMARK_APOPTOSIS",1.2627760429221,0.0784982935153584,0.130830489192264,138,1.22880511766151,0.0915750915750916,0.143086080586081,138,"ACLT_untreated_t7_vs_Control","t7",-0.0339709252605875,0.0339709252605875,TRUE,FALSE
"HALLMARK_BILE_ACID_METABOLISM",-1.71484149742649,0.000454426189846729,0.00227213094923365,75,-1.73212661299429,0.000373311882776966,0.00186655941388483,75,"ACLT_untreated_t7_vs_Control","t7",-0.0172851155677975,0.0172851155677975,TRUE,FALSE
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",-1.35316860502865,0.0622222222222222,0.111111111111111,67,-1.35607619857229,0.0430030927914194,0.0784928199777992,67,"ACLT_untreated_t7_vs_Control","t7",-0.00290759354363401,0.00290759354363401,TRUE,FALSE
"HALLMARK_COAGULATION",0.990476955043325,0.454861111111111,0.516887626262626,96,0.976384867471442,0.462522851919561,0.525594149908592,96,"ACLT_untreated_t7_vs_Control","t7",-0.0140920875718827,0.0140920875718827,TRUE,FALSE
"HALLMARK_COMPLEMENT",1.15491453059103,0.16382252559727,0.234032179424671,152,1.17089836830762,0.153703703703704,0.2260348583878,151,"ACLT_untreated_t7_vs_Control","t7",0.0159838377165897,0.0159838377165897,TRUE,FALSE
"HALLMARK_DNA_REPAIR",1.41281892291015,0.0117296957424758,0.0293242393561894,134,1.39024310038665,0.0111170845393182,0.0277927113482955,134,"ACLT_untreated_t7_vs_Control","t7",-0.0225758225234982,0.0225758225234982,TRUE,FALSE
"HALLMARK_E2F_TARGETS",3.04050728413698,1.8497287814213e-39,9.24864390710651e-38,182,3.07380954869351,2.65840629643715e-39,1.04379933767433e-37,182,"ACLT_untreated_t7_vs_Control","t7",0.0333022645565335,0.0333022645565335,TRUE,FALSE
"HALLMARK_ESTROGEN_RESPONSE_EARLY",1.08254182249762,0.267702936096718,0.352240705390419,150,1.0874305076804,0.284132841328413,0.38396329909245,150,"ACLT_untreated_t7_vs_Control","t7",0.00488868518277852,0.00488868518277852,TRUE,FALSE
