"gene_id","ENTREZID_1W","SYMBOL_1W","logFC_1W","FDR_1W","direction_1W","ENTREZID_4W","SYMBOL_4W","logFC_4W","FDR_4W","direction_4W","in_1W","in_4W","direction_relation","category","ENTREZID","SYMBOL","plot_class","label_name","combined_score"
"G10090_10207",16498,"Kcnab2",1.39298810021812,4.18427726589502e-07,"Up",16498,"Kcnab2",1.2456987090924,8.3819114258498e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",16498,"Kcnab2","Persistent_up","Kcnab2",15.2089917928382
"G10090_10243",107581,"Col16a1",3.07843901976405,3.57651081869277e-09,"Up",107581,"Col16a1",1.78614897041046,9.10915835078394e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",107581,"Col16a1","Persistent_up","Col16a1",35.0052824554718
"G10090_10290",383103,"Tvp23a",1.65605876540667,4.37275197510197e-08,"Up",383103,"Tvp23a",1.11320854605047,0.000178720054627081,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",383103,"Tvp23a","Persistent_up","Tvp23a",16.3594551706805
"G10090_10365",215378,"Brinp3",1.89823651412795,0.00267919203524598,"Up",215378,"Brinp3",1.98322371402988,0.000752799386819823,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",215378,"Brinp3","Persistent_up","Brinp3",11.0765007832406
"G10090_10370",171212,"Galnt10",1.41865419006616,1.00505413264937e-09,"Up",171212,"Galnt10",1.20932825355529,1.49516262082602e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",171212,"Galnt10","Persistent_up","Galnt10",18.6001672454282
"G10090_10387",67451,"Pkp2",-1.28856731317734,1.56271692789427e-08,"Down",67451,"Pkp2",-1.29710051559252,2.19235194857039e-06,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",67451,"Pkp2","Persistent_down","Pkp2",17.399118867183
"G10090_10411",14633,"Gli2",1.05978693337186,6.78070709867758e-05,"Up",14633,"Gli2",1.09498559877586,0.000109405361535143,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",14633,"Gli2","Persistent_up","Gli2",8.75515598400433
"G10090_10416",170835,"Inpp5j",-2.53328207358455,2.29332874595577e-07,"Down",170835,"Inpp5j",-1.32616443102469,0.0010693361061219,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",170835,"Inpp5j","Persistent_down","Inpp5j",20.7596946971591
"G10090_1043",76219,"Arxes1",-1.89617604159832,8.49235009832464e-05,"Down",76219,"Arxes1",-1.83633872380935,3.46292633504897e-05,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",76219,"Arxes1","Persistent_down","Arxes1",15.9103728655527
"G10090_10441",20618,"Sncg",-1.97390694553371,3.39587033547612e-06,"Down",20618,"Sncg",-1.26142008149721,0.00014080537448859,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",20618,"Sncg","Persistent_down","Sncg",15.653602652982
"G10090_10443",237759,"Col23a1",1.38335062734764,4.99026362490265e-07,"Up",237759,"Col23a1",1.02769178888764,0.00808049355459414,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",237759,"Col23a1","Persistent_up","Col23a1",10.8682137249053
"G10090_10466",57339,"Jph1",-1.20947093835611,0.00119450416501376,"Down",57339,"Jph1",-1.04878573937518,0.00197712636289779,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",57339,"Jph1","Persistent_down","Jph1",6.37093710606677
"G10090_10476",237360,"Adamts14",1.85182506610541,1.19002153895991e-08,"Up",237360,"Adamts14",1.56975102451646,7.0539673113845e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",237360,"Adamts14","Persistent_up","Adamts14",21.1916120720702
