"sample_id","source_name","injury_raw","treatment_raw","time_raw","time_unit_raw","injury_label","treatment_label","study_group_raw","core_validation_use","core_group","organism_part","sampling_site","sex","age"
"REPL2","REPL2","anterior cruciate ligament transection surgery","ligament repair surgery (BEAR)",28,"month","ACLT","repair","ACLT__repair__t28",FALSE,NA,"synovial membrane","perimeniscal medial femorotibial joint","male",18.3
"REPL3","REPL3","anterior cruciate ligament transection surgery","ligament repair surgery (BEAR)",28,"month","ACLT","repair","ACLT__repair__t28",FALSE,NA,"synovial membrane","perimeniscal medial femorotibial joint","female",15.9
"REPL4","REPL4","anterior cruciate ligament transection surgery","ligament repair surgery (BEAR)",28,"month","ACLT","repair","ACLT__repair__t28",FALSE,NA,"synovial membrane","perimeniscal medial femorotibial joint","male",16.3
"REPL5","REPL5","anterior cruciate ligament transection surgery","ligament repair surgery (BEAR)",28,"month","ACLT","repair","ACLT__repair__t28",FALSE,NA,"synovial membrane","perimeniscal medial femorotibial joint","female",15.9
"REPL6","REPL6","anterior cruciate ligament transection surgery","ligament repair surgery (BEAR)",28,"month","ACLT","repair","ACLT__repair__t28",FALSE,NA,"synovial membrane","perimeniscal medial femorotibial joint","male",15.3
"REPS1","REPS1","anterior cruciate ligament transection surgery","ligament repair surgery (BEAR)",7,"month","ACLT","repair","ACLT__repair__t7",FALSE,NA,"synovial membrane","perimeniscal medial femorotibial joint","male",15.5
"REPS2","REPS2","anterior cruciate ligament transection surgery","ligament repair surgery (BEAR)",7,"month","ACLT","repair","ACLT__repair__t7",FALSE,NA,"synovial membrane","perimeniscal medial femorotibial joint","female",16.8
"REPS3","REPS3","anterior cruciate ligament transection surgery","ligament repair surgery (BEAR)",7,"month","ACLT","repair","ACLT__repair__t7",FALSE,NA,"synovial membrane","perimeniscal medial femorotibial joint","female",17.7
"REPS4","REPS4","anterior cruciate ligament transection surgery","ligament repair surgery (BEAR)",7,"month","ACLT","repair","ACLT__repair__t7",FALSE,NA,"synovial membrane","perimeniscal medial femorotibial joint","male",16.2
"REPS5","REPS5","anterior cruciate ligament transection surgery","ligament repair surgery (BEAR)",7,"month","ACLT","repair","ACLT__repair__t7",FALSE,NA,"synovial membrane","perimeniscal medial femorotibial joint","male",17.8
"REPS6","REPS6","anterior cruciate ligament transection surgery","ligament repair surgery (BEAR)",7,"month","ACLT","repair","ACLT__repair__t7",FALSE,NA,"synovial membrane","perimeniscal medial femorotibial joint","female",20.3
