"fastq_file","sample_id","read","exit_status","html_created_in_raw","zip_created_in_raw","html_moved_to_outdir","zip_moved_to_outdir","html_exists_final","zip_exists_final","ok","warning_or_error","stdout_file"
"INJL1_R2.fastq.gz","INJL1","R2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJL1_R2_stdout_stderr.txt"
"INJL2_R1.fastq.gz","INJL2","R1",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJL2_R1_stdout_stderr.txt"
"INJL2_R2.fastq.gz","INJL2","R2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJL2_R2_stdout_stderr.txt"
"INJL3_R1.fastq.gz","INJL3","R1",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJL3_R1_stdout_stderr.txt"
"INJL3_R2.fastq.gz","INJL3","R2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJL3_R2_stdout_stderr.txt"
"INJL4_R1.fastq.gz","INJL4","R1",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJL4_R1_stdout_stderr.txt"
"INJL4_R2.fastq.gz","INJL4","R2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJL4_R2_stdout_stderr.txt"
"INJL5_R1.fastq.gz","INJL5","R1",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJL5_R1_stdout_stderr.txt"
"INJL5_R2.fastq.gz","INJL5","R2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJL5_R2_stdout_stderr.txt"
"INJL6_R1.fastq.gz","INJL6","R1",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJL6_R1_stdout_stderr.txt"
"INJL6_R2.fastq.gz","INJL6","R2",0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/logs/stepE_fastqc_INJL6_R2_stdout_stderr.txt"
