"display_label","CON1","CON2","CON3","CON4","CON5","CON6","INJS1","INJS2","INJS3","INJS4","INJS5","INJS6","INJL1","INJL2","INJL3","INJL4","INJL5","INJL6"
"CBS",0.751815551535789,1.27662028331502,1.33317306728265,0.712146098208887,0.821522951318833,1.3729612877155,-1.38149268178614,-1.31158326152623,-0.203496365849786,-0.247938769856459,-1.99449185330944,0.117490515792727,-1.71492654776287,-2.34654775923232,-2.50251582445106,-3.4852375054144,-1.51574228036973,-0.319454013217646
"FASN",7.05030419684905,7.9540788595738,6.93980324053527,7.43815365798983,7.95231684977942,7.54828349418842,3.56030261910177,4.36109895315771,5.71495479681174,5.66204951130674,5.4876409412706,6.16778445584049,3.89129877534967,3.33198021555228,3.45755558242244,3.59282499703151,3.46295506594407,3.89136438053663
"PPARG",5.99264376946093,4.98454214809308,5.03778924657246,4.79819221384148,4.75151020949674,4.79610169614113,3.92444715216946,2.98710694775313,4.37952244830981,3.78107252738857,3.67576170421223,3.67610310305859,3.06680255448168,2.1316020007689,2.20858064644658,2.83968333002775,3.14677560088663,3.25546014051427
"BUB1",0.663797540601097,0.0705450972482941,-0.797487281649046,0.502800946303941,0.505996314276451,1.20924050111477,4.28201367385912,4.25254829693063,4.2197857526543,4.33627234642701,4.67071243238259,3.70392364876344,2.48025835398216,3.20341592736173,3.16683853455952,2.80576540628271,2.77824914011404,2.80871534264936
"CCNB1",1.05836076229509,1.63645279032898,0.328634882140817,1.20293265021088,1.36587536717711,1.3729612877155,5.16190126361428,5.14113735709051,4.62704109901098,4.86423159179442,5.39645431073594,4.13022258638497,2.9906827902553,3.46411747114627,3.03495956063468,3.67965961931232,3.16084684650208,3.00429551142796
"CDK1",0.570058685528737,1.81589628868018,-0.57226302719628,1.05713421634643,0.773498001068571,1.08876602427114,4.48539419197269,4.40446887116606,3.77045233886279,3.62634610985421,4.02998419452347,3.43181636941952,2.68734211946786,3.22012711046227,3.03495956063468,3.09971522739244,2.70331502204612,2.78761609547603
"CKAP2",0.834771016605734,0.796108033847856,-0.57226302719628,1.10738874842184,0.913027543218499,0.957306886477754,4.20346889826214,4.16068009386934,4.16444348239404,3.94114470016749,4.24203515898612,3.19750056502949,2.48025835398216,2.68281817411695,2.8898012707228,2.85634787390824,2.66433600821459,2.76620368867924
"ENTPD7",2.09597740658952,2.02496521105533,1.76318102425895,1.94523813108963,2.55468996546775,1.99251643307881,3.44798322960614,3.61359812893042,4.00556065036378,3.10185130270905,3.69389710135442,4.33089653756333,3.24119118976543,3.57220259308013,3.82006361187851,3.75268900587297,3.40502107398341,3.63203945668592
"ESPL1",0.245610038012235,0.0705450972482941,-1.06449561547537,0.775681373496082,1.04024460326463,1.20924050111477,3.63915192350374,3.84370615329256,3.85055763803923,3.58815388496656,4.32583030319626,3.31038977827514,2.36438544051625,2.53036512276055,2.41131049390543,1.45979506761215,1.38221439284378,2.48089909123244
"FOXM1",-0.345673178020757,-0.647614083923157,-0.377497716252411,-0.910902584007024,-0.248978030848041,0.022175576178849,2.69937289562204,3.00130135869282,3.20246545727414,3.08366514442223,3.36089896886833,2.26848052122749,1.53030340699178,1.52585780827192,1.65089853823032,1.00156837252631,1.42947563228974,1.08664746350449
"HIF1A",7.38133852901397,6.84518181373331,6.22581941345522,6.4716391084177,7.20815296737445,6.64689245240507,8.10844442598668,7.88396193316249,7.82094176716331,7.86768171968801,7.70703171058912,7.92704621495229,7.1788384091319,7.8493079288002,7.93018923659042,8.12000516848111,8.15739030447028,8.12264338827551
"HTRA1",9.29729275959042,9.39402900119683,9.04662665158402,8.68739440387245,9.19843429904669,8.73392118547467,10.7165666678713,10.5600161536764,10.0022540612232,10.5337799185107,10.3943549573103,10.4184804081565,10.2251460763083,10.3935108465084,10.433740391693,10.33867104232,10.444861754867,10.3698455301307
"KIF20A",2.09597740658952,1.69878037731738,0.800643141605225,2.10217710260523,2.127970654308,2.02571066753571,5.93379460234976,5.8836828606563,5.61757986942081,5.44771894772267,6.13441096044582,4.91669864337407,4.11394622093804,4.28643382678514,4.01934439667871,4.133785850872,3.99773136785143,3.96838912574857
"KIF2C",0.987612341423283,1.19247709570389,0.629898656770459,1.24843200269301,1.08027388379514,0.957306886477754,4.07700089871892,4.37751583659447,4.27888548115656,4.55004713697185,4.60514640018967,3.43181636941952,2.7112562839439,2.77618061817606,2.78422251497578,2.99825240821795,2.38152487106862,2.65409825717049
"KIFC1",-0.173638193063925,1.69878037731738,0.878990560035283,1.24843200269301,1.33311767561596,1.8515303725275,3.47689345532471,3.83580697448095,3.95572070796089,3.88973572893058,4.37161495560661,3.34613834688624,2.30276119354841,2.50331316170169,2.38747336238324,2.60346307674083,2.4745911694051,2.50695165094078
"LOXL2",6.92338170907184,5.99808102178719,4.50093933189227,5.44160529477741,5.1188631169909,4.35512390259599,7.95079416292863,7.47611072140601,7.01513182593148,7.87827117880894,8.42498610489209,7.53147877992325,7.53679653219355,6.94340934619083,7.31921940881581,8.64372620830754,7.25450772791813,7.03016301356741
"NEK2",0.362057219968112,0.0705450972482941,-1.8174672971404,-0.150964842400946,0.445983640247538,0.651871450271436,3.60463867789128,4.29925304684476,3.71160879013622,4.34393281377454,3.56188408495263,3.31038977827514,2.1710052104282,2.55691915508999,2.45783477408025,2.41384309776179,2.83200123034885,1.86776830301896
"RACGAP1",2.60148183924362,2.76871557061714,1.84353315664364,2.88585777940709,3.083921898471,2.94187138548146,5.68398022244935,5.56803330379774,5.66265746733873,5.53060954242233,5.75711298301072,4.96922601636708,4.44868177913544,4.75628915297799,4.80653551725212,4.6461557278711,4.48533213941676,4.41615351227914
"RUNX1",5.13221176055879,4.92059676576305,5.12477017332405,5.21111441585475,5.38167997439391,5.34869760291143,6.5920426896227,6.40791315903895,6.73920391734653,6.63134347113055,6.64027383305226,6.64410870250927,6.09932175668064,6.19957736806269,6.79743660381337,6.25307674638069,6.31319340894976,6.99492861120262
"SDC1",4.51175487721074,4.07338725190934,2.80555029076772,2.12675066140445,3.27712887713808,1.61028080781819,4.48539419197269,4.45175062787044,4.40627485477193,4.81547450644686,4.96760492895108,5.06886959921797,4.2177636944374,4.56677684304551,4.2350468152805,5.08839983725164,4.32587267931155,4.42301116334977
"SERPINE1",7.29607828345668,6.70985546902971,5.65105060206959,5.05021392899734,6.42551359061619,5.85508507982728,8.05751882356565,7.30357407731911,7.16833834520097,7.02833710065661,7.95321595467676,7.738160258669,8.4827550673964,6.98555900104876,7.7769266058723,7.4850347806619,7.6488880133679,7.69842837219219
"SPARC",13.2299354965992,13.287928331478,12.5756404777581,11.7068006797426,11.8064963188888,12.3113422520065,14.1299378481215,14.2025645962964,12.9394331410785,13.8288931578955,13.9701246766512,13.5054202535337,13.5342424558681,14.120288990886,14.2432283932972,15.128681106419,14.2216590178098,13.3879326616717
"TNFSF15",-0.541035634222166,-1.4587180208875,0.800643141605225,-0.409029839937052,0.0215873592150775,-0.856231607173518,1.05473367279085,0.585358956077841,2.3213268461554,2.13455575174302,0.837310084287521,1.43435490353106,0.574229040968205,1.16070578398118,2.1245561986675,0.505886006822936,0.724049292821206,1.21862590581801
"TTK",-0.345673178020757,0.0705450972482941,-0.377497716252411,-0.0374035029988017,-0.582276829723889,-0.439026841766211,3.88903534469203,3.2112526971527,2.97833413124743,3.25596665783269,3.56188408495263,2.62924786809647,0.940747768307577,2.50331316170169,2.18111267200612,2.22143503644332,2.14718132169387,2.34307435876148
