"step_name","timepoint","input_matrix","mds_function","top","gene_selection","n_genes_input","n_samples_input","n_contra","n_aclr","n_pair_lines_drawn","coordinate_file","input_gene_file","pdf_file","png_file"
"step06_mouse_MDS_from_step05_voom_logCPM","1W","Step05 paired limma-voom second voom-transformed logCPM","limma::plotMDS",500,"common",14311,24,12,12,12,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/supplement/S1/source_data/step06_mouse_MDS_from_step05_voom_logCPM_1W_MDS_coordinates.csv","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/supplement/S1/source_data/step06_mouse_MDS_from_step05_voom_logCPM_1W_input_gene_ids.csv","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/supplement/S1/figures/step06_mouse_MDS_from_step05_voom_logCPM_1W_MDS.pdf","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/supplement/S1/figures/step06_mouse_MDS_from_step05_voom_logCPM_1W_MDS.png"
"step06_mouse_MDS_from_step05_voom_logCPM","4W","Step05 paired limma-voom second voom-transformed logCPM","limma::plotMDS",500,"common",14316,24,12,12,12,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/supplement/S1/source_data/step06_mouse_MDS_from_step05_voom_logCPM_4W_MDS_coordinates.csv","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/supplement/S1/source_data/step06_mouse_MDS_from_step05_voom_logCPM_4W_input_gene_ids.csv","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/supplement/S1/figures/step06_mouse_MDS_from_step05_voom_logCPM_4W_MDS.pdf","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/supplement/S1/figures/step06_mouse_MDS_from_step05_voom_logCPM_4W_MDS.png"
