"sample_id","original_sample_id","timepoint","treatment_raw","treatment","sex","mouse_id"
"M130L","M130L","1W","Contra","Contra","M","M130"
"M130R","M130R","1W","ACLR","ACLR","M","M130"
"M135L","M135L","1W","Contra","Contra","M","M135"
"M135R","M135R","1W","ACLR","ACLR","M","M135"
"M142L","M142L","1W","Contra","Contra","F","M142"
"M142R","M142R","1W","ACLR","ACLR","F","M142"
"M143L","M143L","1W","Contra","Contra","F","M143"
"M143R","M143R","1W","ACLR","ACLR","F","M143"
"M147L","M147L","1W","Contra","Contra","M","M147"
"M147R","M147R","1W","ACLR","ACLR","M","M147"
"M153L","M153L","1W","Contra","Contra","M","M153"
"M153R","M153R","1W","ACLR","ACLR","M","M153"
"M158L","M158L","1W","Contra","Contra","F","M158"
"M158R","M158R","1W","ACLR","ACLR","F","M158"
"M160L","M160L","1W","Contra","Contra","F","M160"
"M160R","M160R","1W","ACLR","ACLR","F","M160"
"M163L","M163L","1W","Contra","Contra","M","M163"
"M163R","M163R","1W","ACLR","ACLR","M","M163"
"M167L","M167L","1W","Contra","Contra","M","M167"
"M167R","M167R","1W","ACLR","ACLR","M","M167"
"M174L","M174L","1W","Contra","Contra","F","M174"
"M174R","M174R","1W","ACLR","ACLR","F","M174"
"M178L","M178L","1W","Contra","Contra","F","M178"
"M178R","M178R","1W","ACLR","ACLR","F","M178"
