"sample_id","gsm_accession","core_group","tissue_label","time_label","tissue_synovium","tissue_cartilage","quant_relative","quant_exists","source_manifest_file"
"GSM7140496_ACLT8_synovium","GSM7140496","ACLT_alone_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140496_ACLT8_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140497_ACLT9_synovium","GSM7140497","ACLT_alone_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140497_ACLT9_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140498_ACLT10_synovium","GSM7140498","ACLT_alone_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140498_ACLT10_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140499_ACLT11_synovium","GSM7140499","ACLT_alone_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140499_ACLT11_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140500_CON4_synovium","GSM7140500","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140500_CON4_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140501_ACLT12_synovium","GSM7140501","ACLT_alone_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140501_ACLT12_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140502_CON5_synovium","GSM7140502","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140502_CON5_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140507_CON6_synovium","GSM7140507","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140507_CON6_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140511_CON7_synovium","GSM7140511","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140511_CON7_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140516_CON8_synovium","GSM7140516","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140516_CON8_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140518_CON9_synovium","GSM7140518","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140518_CON9_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140523_CON10_synovium","GSM7140523","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140523_CON10_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140527_CON11_synovium","GSM7140527","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140527_CON11_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140532_CON12_synovium","GSM7140532","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140532_CON12_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
