"sample_id","gsm_accession","core_group","tissue_label","time_label","tissue_synovium","tissue_cartilage","quant_relative","quant_exists","source_manifest_file"
"GSM7140496_ACLT8_synovium","GSM7140496","ACLT_alone_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140496_ACLT8_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140497_ACLT9_synovium","GSM7140497","ACLT_alone_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140497_ACLT9_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140498_ACLT10_synovium","GSM7140498","ACLT_alone_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140498_ACLT10_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140499_ACLT11_synovium","GSM7140499","ACLT_alone_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140499_ACLT11_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140500_CON4_synovium","GSM7140500","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140500_CON4_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140501_ACLT12_synovium","GSM7140501","ACLT_alone_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140501_ACLT12_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140502_CON5_synovium","GSM7140502","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140502_CON5_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140503_RECON1_synovium","GSM7140503","Reconstruction_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140503_RECON1_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140504_RECON2_synovium","GSM7140504","Reconstruction_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140504_RECON2_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140505_RECON3_synovium","GSM7140505","Reconstruction_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140505_RECON3_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140506_RECON4_synovium","GSM7140506","Reconstruction_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140506_RECON4_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140507_CON6_synovium","GSM7140507","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140507_CON6_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140508_RECON5_synovium","GSM7140508","Reconstruction_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140508_RECON5_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140509_RECON6_synovium","GSM7140509","Reconstruction_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140509_RECON6_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140510_RECON7_synovium","GSM7140510","Reconstruction_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140510_RECON7_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140511_CON7_synovium","GSM7140511","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140511_CON7_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140512_RECON8_synovium","GSM7140512","Reconstruction_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140512_RECON8_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140513_RECON9_synovium","GSM7140513","Reconstruction_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140513_RECON9_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140514_RECON10_synovium","GSM7140514","Reconstruction_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140514_RECON10_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140515_RECON11_synovium","GSM7140515","Reconstruction_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140515_RECON11_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140516_CON8_synovium","GSM7140516","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140516_CON8_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140517_RECON12_synovium","GSM7140517","Reconstruction_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140517_RECON12_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140518_CON9_synovium","GSM7140518","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140518_CON9_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140519_REPAIR1_synovium","GSM7140519","Repair_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140519_REPAIR1_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140520_REPAIR2_synovium","GSM7140520","Repair_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140520_REPAIR2_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140521_REPAIR3_synovium","GSM7140521","Repair_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140521_REPAIR3_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140522_REPAIR4_synovium","GSM7140522","Repair_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140522_REPAIR4_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140523_CON10_synovium","GSM7140523","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140523_CON10_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140524_REPAIR5_synovium","GSM7140524","Repair_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140524_REPAIR5_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140525_REPAIR6_synovium","GSM7140525","Repair_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140525_REPAIR6_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140526_REPAIR7_synovium","GSM7140526","Repair_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140526_REPAIR7_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140527_CON11_synovium","GSM7140527","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140527_CON11_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140528_REPAIR8_synovium","GSM7140528","Repair_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140528_REPAIR8_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140529_REPAIR9_synovium","GSM7140529","Repair_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140529_REPAIR9_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140530_REPAIR10_synovium","GSM7140530","Repair_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140530_REPAIR10_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140531_REPAIR11_synovium","GSM7140531","Repair_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140531_REPAIR11_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140532_CON12_synovium","GSM7140532","Control_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140532_CON12_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
"GSM7140533_REPAIR12_synovium","GSM7140533","Repair_52W","Synovium","52W",TRUE,FALSE,"data_raw/GSE228848_synovium_quant/GSM7140533_REPAIR12_synovium_quant.sf.txt.gz",TRUE,"results/GSE228848_chronic_validation/GSE228848_synovium_chronic_manifest_repaired.csv"
