"","M130L","M130R","M135L","M135R","M142L","M142R","M143L","M143R","M147L","M147R","M153L","M153R","M158L","M158R","M160L","M160R","M163L","M163R","M167L","M167R","M174L","M174R","M178L","M178R"
"G10090_32561",7.93909931540661,8.33904682160775,7.92836095743892,8.18141847879125,8.24858969208457,8.26083944149176,8.1279677896085,8.13040045170391,8.19703582272773,8.66564748746201,8.39263076232641,7.98843478546079,8.38505722308172,8.60414459946518,8.5833895672959,8.80768403618819,7.90949269652299,8.26008299493542,7.88561964982125,8.31827721554905,8.06246187018513,8.29631509375184,8.14666799642769,8.35794825473563
"G10090_15366",4.9535756062525,4.96086603727747,5.14021418670807,5.26117946792473,5.40995375246821,5.09512954293218,4.81962593446351,5.08730396031025,6.26906854937028,5.30703042123701,5.70757081194757,5.12013888797136,5.18681050877793,5.2925341419759,5.17593375808017,5.436571105396,4.92913133887899,4.92952609108744,5.27518156911044,4.87100894932841,5.00375464811397,5.0278663392889,4.94069229771643,5.15789271134256
"G10090_11692",0.894989167767848,3.58332037465199,0.527579525202379,4.73282129312274,4.54003029233438,4.40686976001849,1.62022558050942,4.52084886862106,1.05663674772022,4.20777027685605,2.19159378621012,4.45339015855297,1.19476332933277,5.12290836374181,1.73463132007431,4.55660247706337,1.17515301287712,3.84241879986923,0.497301103939505,4.84646315052106,1.39898581440934,4.23790421680495,1.24368853454746,4.25149217021855
"G10090_14637",-0.704175025180604,1.98386654823094,-0.353469741137476,3.1594792102605,1.26731797259823,2.60275665014908,0.641618586723337,2.27186952093223,-0.262981186479939,2.40834260357108,1.73502402468838,3.38717047241053,-1.16486492950349,2.88919401760036,1.07286639355901,3.11817146238275,-0.499049345773867,2.10704051077317,-1.32473127307668,2.70692020348239,0.913180872955475,2.68021889105613,-0.474023135473145,2.86893684622179
"G10090_15380",4.35982884324575,4.01445486806436,4.36430458800889,3.76105642483255,3.97365561190743,3.3675266495867,4.32449484397142,3.73612674906659,3.40539732242885,3.51238406268072,3.72545069798158,3.71554680090501,4.03340469763279,3.27651751444396,4.45533603038142,3.47190417850828,3.97714715534284,3.7061298811971,3.980010310994,3.59438387455526,4.40826574855121,3.53915831067867,4.25000340298556,3.68975889890447
"G10090_30608",-2.48844633412517,-0.667369171909385,-3.89779025736129,-0.511554240584327,-0.578972612006319,0.227879675312754,-1.4417974214643,0.261196019417779,-2.22233920198259,-1.25039782328963,-0.873022089145819,0.0480330874909454,-3.23525425739489,0.405298443049604,-1.17809517997421,0.137859797304857,-2.45840736127652,-1.22022102841724,-1.66576819091175,-0.0292858776150054,-2.15456373368036,0.255883647195195,-4.01834365169695,-0.0770233140653207
"G10090_11099",0.318908587932437,-0.338061546656425,0.00910033824723277,0.0968672329608177,1.02630987309443,0.625964041310401,1.40428989508202,0.0787179676323818,0.162324648252732,0.470448105513301,1.20620460200476,0.505714924178283,0.275707661882493,-0.761059943372516,0.517898633135688,-0.509259179478868,0.254310686643008,-0.193748817056047,0.260231227644473,0.000771356241174504,0.859242065844672,-0.164692035625079,0.505218304360058,0.200086276980196
"G10090_10411",1.7425081007147,2.53506864305142,1.38761196150096,3.50461469630918,2.77032038205222,3.44496540434262,2.57102661889328,3.32920269599818,1.2370924166547,2.14953278359901,2.40640127722701,2.59070386649566,1.26299661013294,2.68077761525004,1.29698970297457,2.7141050809249,2.51632588011305,2.96447068373399,1.89494676356273,3.77045586033272,3.11941113798408,3.22868191963656,1.5156349203054,3.63122885118607
"G10090_2123",3.620078122653,3.72494825086938,3.04472424797795,2.69469953393302,2.27157999945239,2.204089111978,2.20480414504924,2.45160747709532,3.51161764231128,2.8804110478863,2.07364840844805,3.15683629898757,2.03527468498583,2.59570990072715,2.18367317944494,2.26664610395368,3.78317862529324,3.07201538153332,2.93116695147548,2.29264221727236,2.12799012287286,2.57781174208256,2.35669577964997,2.42347883356702
"G10090_8180",2.86126491727573,4.25302185862552,3.0602790621728,5.68409025239543,4.86714280532729,5.58608924377125,3.77506389389892,5.14068828457363,2.82205491737586,4.72688210021029,3.74073767588277,5.17731610443591,3.19436170680685,5.59218492127078,3.80193012026452,5.25015798116511,3.04762467022292,4.68399543289295,2.99339525165082,5.31860352749726,3.78343246216902,5.18417227971609,3.18132869313941,5.62765339696224
