"sample_id","group","score_name","score_value"
"GSM7140486_CON1_synovium","Control_52W","directional_singscore",0.10230083990631
"GSM7140491_CON2_synovium","Control_52W","directional_singscore",0.0593660078627287
"GSM7140495_CON3_synovium","Control_52W","directional_singscore",0.0876073679938391
"GSM7140500_CON4_synovium","Control_52W","directional_singscore",0.078039813729753
"GSM7140502_CON5_synovium","Control_52W","directional_singscore",0.106144433352829
"GSM7140507_CON6_synovium","Control_52W","directional_singscore",0.0311635757276495
"GSM7140511_CON7_synovium","Control_52W","directional_singscore",0.125083018442917
"GSM7140516_CON8_synovium","Control_52W","directional_singscore",0.109563871402567
"GSM7140518_CON9_synovium","Control_52W","directional_singscore",0.0832050304672426
"GSM7140523_CON10_synovium","Control_52W","directional_singscore",0.15266521435061
"GSM7140527_CON11_synovium","Control_52W","directional_singscore",0.157482422742063
"GSM7140532_CON12_synovium","Control_52W","directional_singscore",0.12954580069524
"GSM7140487_ACLT1_synovium","ACLT_alone_52W","directional_singscore",0.150180781760982
"GSM7140488_ACLT2_synovium","ACLT_alone_52W","directional_singscore",0.137192698151144
"GSM7140489_ACLT3_synovium","ACLT_alone_52W","directional_singscore",0.190614330367052
"GSM7140490_ACLT4_synovium","ACLT_alone_52W","directional_singscore",0.164526425470132
"GSM7140492_ACLT5_synovium","ACLT_alone_52W","directional_singscore",0.163723429652416
"GSM7140493_ACLT6_synovium","ACLT_alone_52W","directional_singscore",0.190817956557522
"GSM7140494_ACLT7_synovium","ACLT_alone_52W","directional_singscore",0.0994942156706161
"GSM7140496_ACLT8_synovium","ACLT_alone_52W","directional_singscore",0.119334787031542
"GSM7140497_ACLT9_synovium","ACLT_alone_52W","directional_singscore",0.145427016334742
"GSM7140498_ACLT10_synovium","ACLT_alone_52W","directional_singscore",0.121837817168139
"GSM7140499_ACLT11_synovium","ACLT_alone_52W","directional_singscore",0.13448686807989
"GSM7140501_ACLT12_synovium","ACLT_alone_52W","directional_singscore",0.143729283798561
"GSM7140486_CON1_synovium","Control_52W","up_singscore",0.127751169851022
"GSM7140491_CON2_synovium","Control_52W","up_singscore",0.126420582501573
"GSM7140495_CON3_synovium","Control_52W","up_singscore",0.13294355490306
"GSM7140500_CON4_synovium","Control_52W","up_singscore",0.110909440981403
"GSM7140502_CON5_synovium","Control_52W","up_singscore",0.139714078439328
"GSM7140507_CON6_synovium","Control_52W","up_singscore",0.121506004834124
"GSM7140511_CON7_synovium","Control_52W","up_singscore",0.127000264742186
"GSM7140516_CON8_synovium","Control_52W","up_singscore",0.108364477787443
"GSM7140518_CON9_synovium","Control_52W","up_singscore",0.138729375036531
"GSM7140523_CON10_synovium","Control_52W","up_singscore",0.122350429260544
"GSM7140527_CON11_synovium","Control_52W","up_singscore",0.142804341771847
"GSM7140532_CON12_synovium","Control_52W","up_singscore",0.115233334135582
"GSM7140487_ACLT1_synovium","ACLT_alone_52W","up_singscore",0.149663571131412
"GSM7140488_ACLT2_synovium","ACLT_alone_52W","up_singscore",0.150002578657654
"GSM7140489_ACLT3_synovium","ACLT_alone_52W","up_singscore",0.149897369425372
"GSM7140490_ACLT4_synovium","ACLT_alone_52W","up_singscore",0.152982819263604
"GSM7140492_ACLT5_synovium","ACLT_alone_52W","up_singscore",0.150151109338523
"GSM7140493_ACLT6_synovium","ACLT_alone_52W","up_singscore",0.160904455576605
"GSM7140494_ACLT7_synovium","ACLT_alone_52W","up_singscore",0.137946150751765
"GSM7140496_ACLT8_synovium","ACLT_alone_52W","up_singscore",0.14059838610413
"GSM7140497_ACLT9_synovium","ACLT_alone_52W","up_singscore",0.139835791080595
"GSM7140498_ACLT10_synovium","ACLT_alone_52W","up_singscore",0.139610244491128
"GSM7140499_ACLT11_synovium","ACLT_alone_52W","up_singscore",0.118502384398777
"GSM7140501_ACLT12_synovium","ACLT_alone_52W","up_singscore",0.156762099921265
"GSM7140486_CON1_synovium","Control_52W","down_singscore_reoriented",-0.025450329944712
