"comparison","score","n_control","n_case","median_control","median_case","mean_control","mean_case","median_difference_case_minus_control","mean_difference_case_minus_control","wilcox_p_value","BH_FDR_across_all_singscore_comparisons"
"ACLT_alone_52W_vs_Control_52W","directional_singscore",12,12,0.10422263662957,0.144578150066651,0.101847283056146,0.146780467503561,0.0403555134370819,0.0449331844474157,0.00725995498819057,0.0145199099763811
"ACLT_alone_52W_vs_Control_52W","up_singscore",12,12,0.126710423621879,0.149780470278392,0.126143921187054,0.145571413345069,0.0230700466565125,0.0194274921580156,0.00135394144309263,0.00541576577237052
"ACLT_alone_52W_vs_Control_52W","down_singscore_reoriented",12,12,-0.0291599785981809,0.00305421794185839,-0.0242966381309078,0.00120905415849238,0.0322141965400393,0.0255056922894002,0.0998774027692641,0.0998774027692641
"ACLT_alone_52W_vs_Control_52W","down_singscore_raw",12,12,0.0291599785981809,-0.00305421794185839,0.0242966381309078,-0.00120905415849238,-0.0322141965400393,-0.0255056922894002,0.0998774027692641,0.0998774027692641
