"sample_id","group","group_raw","directional_singscore","up_singscore","down_singscore_raw","down_singscore_reoriented"
"GSM7140486_CON1_synovium","Control_52W","Control_52W",0.10230083990631,0.127751169851022,0.025450329944712,-0.025450329944712
"GSM7140491_CON2_synovium","Control_52W","Control_52W",0.0593660078627287,0.126420582501573,0.0670545746388442,-0.0670545746388442
"GSM7140495_CON3_synovium","Control_52W","Control_52W",0.0876073679938391,0.13294355490306,0.0453361869092206,-0.0453361869092206
"GSM7140500_CON4_synovium","Control_52W","Control_52W",0.078039813729753,0.110909440981403,0.0328696272516498,-0.0328696272516498
"GSM7140502_CON5_synovium","Control_52W","Control_52W",0.106144433352829,0.139714078439328,0.033569645086499,-0.033569645086499
"GSM7140507_CON6_synovium","Control_52W","Control_52W",0.0311635757276495,0.121506004834124,0.0903424291064741,-0.0903424291064741
"GSM7140511_CON7_synovium","Control_52W","Control_52W",0.125083018442917,0.127000264742186,0.00191724629926882,-0.00191724629926882
"GSM7140516_CON8_synovium","Control_52W","Control_52W",0.109563871402567,0.108364477787443,-0.00119939361512394,0.00119939361512394
"GSM7140518_CON9_synovium","Control_52W","Control_52W",0.0832050304672426,0.138729375036531,0.0555243445692883,-0.0555243445692883
"GSM7140523_CON10_synovium","Control_52W","Control_52W",0.15266521435061,0.122350429260544,-0.030314785090066,0.030314785090066
"GSM7140527_CON11_synovium","Control_52W","Control_52W",0.157482422742063,0.142804341771847,-0.0146780809702158,0.0146780809702158
"GSM7140532_CON12_synovium","Control_52W","Control_52W",0.12954580069524,0.115233334135582,-0.0143124665596576,0.0143124665596576
"GSM7140487_ACLT1_synovium","ACLT_alone_52W","ACLT_alone_52W",0.150180781760982,0.149663571131412,-0.000517210629570219,0.000517210629570219
"GSM7140488_ACLT2_synovium","ACLT_alone_52W","ACLT_alone_52W",0.137192698151144,0.150002578657654,0.0128098805065097,-0.0128098805065097
"GSM7140489_ACLT3_synovium","ACLT_alone_52W","ACLT_alone_52W",0.190614330367052,0.149897369425372,-0.0407169609416801,0.0407169609416801
"GSM7140490_ACLT4_synovium","ACLT_alone_52W","ACLT_alone_52W",0.164526425470132,0.152982819263604,-0.0115436062065276,0.0115436062065276
"GSM7140492_ACLT5_synovium","ACLT_alone_52W","ACLT_alone_52W",0.163723429652416,0.150151109338523,-0.0135723203138933,0.0135723203138933
"GSM7140493_ACLT6_synovium","ACLT_alone_52W","ACLT_alone_52W",0.190817956557522,0.160904455576605,-0.0299135009809167,0.0299135009809167
"GSM7140494_ACLT7_synovium","ACLT_alone_52W","ACLT_alone_52W",0.0994942156706161,0.137946150751765,0.0384519350811485,-0.0384519350811485
"GSM7140496_ACLT8_synovium","ACLT_alone_52W","ACLT_alone_52W",0.119334787031542,0.14059838610413,0.0212635990725878,-0.0212635990725878
"GSM7140497_ACLT9_synovium","ACLT_alone_52W","ACLT_alone_52W",0.145427016334742,0.139835791080595,-0.00559122525414657,0.00559122525414657
"GSM7140498_ACLT10_synovium","ACLT_alone_52W","ACLT_alone_52W",0.121837817168139,0.139610244491128,0.0177724273229891,-0.0177724273229891
"GSM7140499_ACLT11_synovium","ACLT_alone_52W","ACLT_alone_52W",0.13448686807989,0.118502384398777,-0.0159844836811129,0.0159844836811129
"GSM7140501_ACLT12_synovium","ACLT_alone_52W","ACLT_alone_52W",0.143729283798561,0.156762099921265,0.0130328161227037,-0.0130328161227037
