"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","timepoint"
"HALLMARK_ADIPOGENESIS",8.59596292238679e-43,2.1489907305967e-41,1.7026781142338,-0.679407771991259,-3.50312173880415,198,"Retsat;Cmbl;Hadh;Echs1;Mccc1;Cpt2;Acadm;Hibch;Ech1;Mgst3;Sorbs1;Sqor;Acox1;Dhrs7b;Bckdha;Miga2;Dbt;Adipor2;Gbe1;Acaa2;Acads;Etfb;Elmod3;Decr1;Abcb8;Pim3;Mtarc2;Ephx2;Tst;Gpat4;Taldo1;Cd151;Idh3g;Grpel1;Aifm1;Sdhb;Phyh;Ddt;Scp2;Uqcr11;Coq3;Sod1;Vegfb;Ubqln1;Coq5;Esrra;Dlat;Dld;Uqcr10;Slc5a6;Retn;Dram2;Crat;Cyc1;Mdh2;Slc27a1;Cox7b;Sult1a1;Immt;Ptcd3;Uqcrc1;Cs;Suclg1;Arl4a;Cidea;Cd36;Ndufab1;Pex14;Lifr;Dnajc15;Coq9;Prdx3;Lpl;Sdhc;Ndufa5;Agpat3;Ndufb7;Ywhag;Acadl;Cat;Uqcrq;Aco2;Mrpl15;Cavin2;Reep6;Samm50;Ndufs3;Gphn;Idh3a;Sncg;Adig;Dnajb9;Preb;Pfkfb3;Mgll;Jagn1;Nkiras1;Mtch2;Bcl6;Bcl2l13;Tob1;Nmt1;Ubc;Lipe;Mrap;Ghitm;Qdpr;Orm1;Chchd10;Ppm1b;Aplp2;Aldh2;Araf;Dgat1;Gpd2;Rnf11;Atl2;Fabp4;Sspn","1W"
"HALLMARK_ALLOGRAFT_REJECTION",2.07317831248388e-13,1.4808416517742e-12,0.943632225232838,0.514452578796572,2.43835071289983,164,"Tlr1;Timp1;Tlr6;Gpr65;Ccr2;Hif1a;Bcat1;Socs1;Bcl3;Ly86;Tlr2;Cd4;Tgfb1;Il2rg;Lyn;Lcp2;Ptpn6;Egfr;Irf8;Stab1;Ctss;Elf4;Brca1;Tnf;Igsf6;Akt1;Ccr5;Was;Ccl5;Ptprc;Fgr;F2r;Ccl7;Ereg;Cd74;Ccl4;Fcgr2b;Nlrp3;H2-Aa;Hcls1;Ncf4;Flna;Spi1;H2-DMb1;Il2rb;Cd80;Icam1;Il4ra;Thy1;Ccl22;Csk;Klrd1;Itgb2;Gcnt1;Capg;Cd47;H2-DMa;Il18rap;Prkcb;Cd8a;Cdkn2a;St8sia4;Itgal;Cd86;H2-M3;Ccl2;Cd7;Cxcr3;Cd40;Abi1;Srgn;Il27ra;Bcl10;Tlr3;Il1b;H2-Oa;Ltb;Lck;Lif;Ets1;Pf4;Inhba;Stat4;Tap1;Npm1;Irf7;Ccr1;H2-Ob;Tapbp;Rpl39;Socs5;Ccnd2;Il16;Il18","1W"
"HALLMARK_ANDROGEN_RESPONSE",0.403716216216216,0.438821974148061,0.0815265143256594,0.2384690462411,1.02772604666724,93,"B4galt1;Actn1;Pmepa1;Cdk6;Cenpn;Sec24d;Akt1;Pgm3;Hmgcr;Scd2;Camkk2;Arid5b;Ccnd1;Lman1;Mertk;Elovl5;Gnai3;Sat1;Abhd2;Stk39;Ube2j1;Itgav;Ube2i;Iqgap2;Plpp1","1W"
"HALLMARK_ANGIOGENESIS",0.0188405371598093,0.029438339312202,0.352487857583619,0.452078989947549,1.57152115094302,32,"Timp1;Postn;Col3a1;Col5a2;Lum;Fstl1;Vcan","1W"
"HALLMARK_APICAL_JUNCTION",1.80888026516725e-07,6.95723178910479e-07,0.690132458796796,0.418691241382092,2.0012550100321,177,"Cd276;Fscn1;Cdh11;Evl;B4galt1;Actn1;Mmp2;Layn;Mdk;Nlgn2;Col16a1;Bmp1;Itgb1;Vcan;Thbs3;Vcam1;Sirpa;Src;Cnn2;Egfr;Fbn1;Arpc2;Zyx;Nectin1;Mpzl1;Ywhah;Lima1;Nectin4;Msn;Sdc3;Gnai2;Nectin3;Ptprc;Cercam;Shc1;Actb;Nfasc;Actg2;Tro;Skap2;Cx3cl1;Cap1;Actg1;Atp1a3;Adam23;Icam1;Pik3r3;Wasl;Thy1;Traf1;Nlgn3;Myh9;Ctnnd1;Parva;Pkd1;Akt3;Tspan4;Rac2;Adam15;Syk;Vav2;Pcdh1;Ldlrap1;Cd86;Rhof;Nectin2;Itga9;Baiap2;Pfn1;Mapk11;Tgfbi;Myl12b","1W"
"HALLMARK_APICAL_SURFACE",0.015175717976795,0.0252928632946584,0.380730400722792,0.450875271640744,1.62406940120863,37,"B4galt1;Il2rg;Sulf2;Lyn;Srpx;Brca1;Gas1;Atp8b1;Cx3cl1;Il2rb;Ephb4;Adam10;Thy1;App","1W"
"HALLMARK_APOPTOSIS",0.000156929458090828,0.000373641566882924,0.518848077743792,0.371501615648626,1.72661236713809,147,"Timp1;Mmp2;Bmf;Lum;Bgn;Bcl2l11;Hmox1;Casp3;Top2a;Pmaip1;Plppr4;Birc3;Cd44;Brca1;Eno2;Tnf;Lmna;Pdgfrb;Cd14;F2r;Dap;Casp2;Plat;Igf2r;Ereg;Timp2;Emp1;Avpr1a;Nedd9;Casp6;Lgals3;Hgf;App;Ccnd1;Btg3;Plcb2;Cdk2;Erbb2;Ppt1;Rara;Hmgb2;Sat1;Casp8;Rnasel;Fdxr;Bax;Pea15a;Ifitm3;Gna15;Madd;Sptan1;Casp4;Bcl10;Egr3;Atf3;Slc20a1;Il1b;Ebp;Anxa1;Cdc25b;Casp9","1W"
"HALLMARK_BILE_ACID_METABOLISM",2.08156657145586e-07,7.43416632662808e-07,0.690132458796796,-0.484589778065646,-2.22489595642296,88,"Retsat;Acsl1;Gstk1;Pex11a;Lonp2;Pxmp2;Pex19;Ephx2;Phyh;Scp2;Abcd2;Sod1;Pex16;Nudt12;Hsd17b4;Mlycd;Optn;Hacl1;Pex13;Cyp27a1;Abca8b;Cat;Pex1;Pnpla8;Pex7;Gnpat;Bmp6;Ar;Prdx5;Abcd3;Rxrg;Lipe;Pecr;Aldh1a7;Idh2;Rxra;Pex6;Pfkm","1W"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.388400702987698,0.432950191570881,0.0857844408075645,0.252396296486036,1.03874047994028,73,"Cxcl16;Lgmn;Pdk3;Gusb;Tmem97;Gpx8;Avpr1a;Hmgcr;Scd2;Actg1;Stx5a;Lgals3;Fads2;S100a11;Jag1;Plscr1;Chka;Errfi1;Niban1;Plaur;Anxa5;Stard4;Cyp51;Sqle;Atf3;Ebp;Cd9;Sema3b;Srebf2;Antxr2","1W"
"HALLMARK_COAGULATION",1.53378856888525e-05,4.26052380245902e-05,0.575610261071129,0.451856940272178,1.96564904918918,96,"Mmp14;Timp1;Lgmn;Tfpi2;Mmp2;Bmp1;Dusp6;Mmp11;Ctsk;Htra1;Fbn1;Prss23;Sparc;Arf4;Mmp3;Wdr1;Thbs1;Plek;Pros1;Plat;Ctsh;Fn1;Lamp2;Ctsb;Apoc2;Csrp1;C1s1;Fyn;C1qa;Usp11;Serpine1;Itgb3;Lrp1;Plau;Gnb2;Capn2;Capn5;Furin;Comp;Adam9;Anxa1;Casp9;Ang;Cd9;Lta4h;Pf4;Cfb;Klf7;Gng12;Olr1;Ctsl;Rabif;Crip2","1W"
