"","(Intercept)","treatmentACLR"
"M131L",1,0
"M131R",1,1
"M137L",1,0
"M137R",1,1
"M140L",1,0
"M140R",1,1
"M146L",1,0
"M146R",1,1
"M150L",1,0
"M150R",1,1
"M154L",1,0
"M154R",1,1
"M157L",1,0
"M157R",1,1
"M161L",1,0
"M161R",1,1
"M166L",1,0
"M166R",1,1
"M169L",1,0
"M169R",1,1
"M173L",1,0
"M173R",1,1
"M176L",1,0
"M176R",1,1
