"sample_id","MDS1","MDS2","group","time_point","sample_number","count_column"
"CON1",-2.15275109045015,-0.528535238864615,"Control","t0",1,"CON1"
"CON2",-1.94316089471071,0.164649353387756,"Control","t0",2,"CON2"
"CON3",-2.03251664595768,-0.542714248162019,"Control","t0",3,"CON3"
"CON4",-1.73085332977291,0.353843260978625,"Control","t0",4,"CON4"
"CON5",-1.58763003715035,0.309470895661447,"Control","t0",5,"CON5"
"CON6",-1.54540893168185,0.327582460130057,"Control","t0",6,"CON6"
"INJS1",1.15785406557279,-0.336886295103637,"ACLT_1W","t7",1,"INJS1"
"INJS2",1.29684455339224,1.11010375493275,"ACLT_1W","t7",2,"INJS2"
"INJS3",0.541989785502624,0.725760813999886,"ACLT_1W","t7",3,"INJS3"
"INJS4",0.752011318173681,0.0846629737103691,"ACLT_1W","t7",4,"INJS4"
"INJS5",1.16137813236014,-0.471896682500969,"ACLT_1W","t7",5,"INJS5"
"INJS6",1.13115941600677,1.53803706778744,"ACLT_1W","t7",6,"INJS6"
"INJL1",0.406250646826092,0.225771491077226,"ACLT_4W","t28",1,"INJL1"
"INJL2",1.17951055876907,-1.1028591946848,"ACLT_4W","t28",2,"INJL2"
"INJL3",1.21431840411666,-0.798932164672571,"ACLT_4W","t28",3,"INJL3"
"INJL4",0.819062054292173,-0.343634022805455,"ACLT_4W","t28",4,"INJL4"
"INJL5",0.71807855048588,-1.05484301154535,"ACLT_4W","t28",5,"INJL5"
"INJL6",0.61386344422555,0.340418786673858,"ACLT_4W","t28",6,"INJL6"
