"contrast","untrimmed_file","trimmed_file","n_untrimmed_genes","n_trimmed_genes","n_common_genes","pearson_logFC_common","spearman_logFC_common","pearson_minuslog10P_common","n_strict_untrimmed","n_strict_trimmed","n_strict_intersection","n_strict_union","strict_jaccard","pct_untrimmed_strict_recovered_in_trimmed","pct_trimmed_strict_also_in_untrimmed","direction_agreement_pct_common","direction_agreement_pct_strict_union","median_abs_logFC_diff_common","p95_abs_logFC_diff_common","top100_FDR_overlap","top500_FDR_overlap","stability_flag"
"ACLT_t7_vs_Control_t0","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step17_pig_early_DE_t7_vs_CON_QLF.csv","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w6_trimmed_DE_ACLT_t7_vs_Control_t0_QLF.csv",14233,14405,14223,0.999035,0.999252,0.997429,1990,2043,1962,2071,0.947368,98.593,96.035,99.093,100,0.010877,0.02093,96,482,"stable_with_minor_differences"
"ACLT_t28_vs_Control_t0","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step17_pig_early_DE_t28_vs_CON_QLF.csv","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w6_trimmed_DE_ACLT_t28_vs_Control_t0_QLF.csv",14002,14164,13990,0.999376,0.999289,0.997884,1838,1887,1803,1922,0.938085,98.096,95.548,99.064,99.946,0.011329,0.019736,97,486,"stable_with_minor_differences"
