"gene_id","logFC","logCPM","F","PValue","FDR","gene_name","contrast","target_group","reference_group","significant_FDR05","strict_sig","direction"
"ENSSSCG00000016367",-0.739719176557347,4.2285530220379,13.631343831733,0.00247860818014875,0.00950053975867583,"RNPEPL1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000037779",-0.830843018876327,1.66705129559952,17.1433913619555,0.00103661112089561,0.00496566161983589,"CAPN10","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000040095",0.537460332045691,3.36048217859033,1.96110310065553,0.183531517367504,0.278973619626801,"GPR35","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000016401",-2.72886758560078,2.06840291727025,156.829112815853,6.90001389035979e-09,2.40252706770325e-06,"KIF1A","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,TRUE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015825",0.941353634753119,5.37516088226304,15.4809519217607,0.00154210842352723,0.00666911138202163,"ADGRA2","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000015850",0.329764611857952,4.84550359054058,3.08619480047438,0.101166809168462,0.174107382248869,"DUSP4","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000015851",0.309842922717479,4.26150227966227,3.43767152674348,0.085272224978896,0.151770903032223,"TNKS","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000022797",-0.0966433480850804,3.64299462791502,0.0966755999004661,0.760514429378056,0.823567133809091,"PPP1R3B","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000033634",0.708059398700355,3.6104477100973,13.4371413595363,0.00261068296542331,0.0098903633338358,"ERI1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000035366",0.0469994872393985,3.74675413012523,0.0640867608121517,0.803890870674727,0.857148946937826,"MFHAS1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000015853",0.196973785760923,6.49774334345468,3.27304962723378,0.0923090980871879,0.161908053540875,"HERC2","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000035828",-0.293742083235992,2.74042242419429,1.71782099804382,0.211422945809079,0.310993180714227,"ENSSSCG00000035828","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000033126",0.153379666334096,6.67999116978078,3.47826869939341,0.0836358718829216,0.149484324274427,"FAM168B","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000028679",0.0329555372874486,7.14508349591021,0.139766328166001,0.714207943688701,0.785943070381105,"PLEKHB2","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000016002",0.578640606772966,4.11268999969756,9.91452114364403,0.00723596627519862,0.0213705968752017,"CCDC141","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000016005",0.0264253643752005,5.15499631702731,0.0419143662310571,0.840779019705179,0.885156979993378,"SESTD1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000016205",0.208260758621658,3.66261590351511,5.23502437885773,0.0384991587928513,0.0804094900682434,"NHEJ1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000016349",-0.881981055270124,4.49108602872869,32.6476896395567,5.71319008623661e-05,0.000611590883696369,"NDUFA10","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000016212",-0.143691864043611,3.55708520640936,1.5571579275982,0.232892179999856,0.33628506799608,"ANKZF1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015673",-0.221028741524912,3.56915206012649,0.579882743491408,0.459206410225813,0.567002482890814,"KYNU","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015373",-2.64968183872041,4.04010207634549,16.6698035252145,0.00115666736307126,0.00537704396338769,"TMEM196","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,TRUE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000025298",-0.169961206566181,4.52274011614027,0.89682312457281,0.359962729081308,0.469817126453811,"POLR1F","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015355",-0.268528439380421,3.98288309898997,0.881399159270897,0.364000237250456,0.474026350630663,"DGKB","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015357",-0.911752498063681,5.45906190861978,10.9882638011376,0.0052121487462696,0.0166736364508264,"MEOX2","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015358",-0.336734497725348,0.523357361138656,0.698909714006487,0.41751310286637,0.526241647883241,"CRPPA","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015360",-0.121009449801996,5.91789035013714,1.43187681035111,0.251659568143346,0.35730452982591,"ANKMY2","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000023118",0.707260638968576,6.0505954671463,38.9431188682319,2.33138600779856e-05,0.000338983041341594,"BZW2","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000024591",-0.150005592510081,4.76895721329374,0.88611882463394,0.362757155500116,0.472847299507784,"ETV1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015378",-0.869537633354988,1.50304302353284,19.2279857188313,0.000648980257672313,0.0034757970886709,"SP4","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015379",-0.586647430370167,0.414757067750547,3.32157213563708,0.0903520413559342,0.159153262431223,"DNAH11","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015380",0.99253592066506,3.79610849735933,11.2096855640281,0.00488162208457499,0.0158664049276274,"CDCA7L","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000015620",0.559493040272247,2.09077479831421,10.1568060331695,0.00671354272363441,0.02026800888666,"ENSSSCG00000015620","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000038345",-0.66595555387844,3.74745992748303,6.46252578872589,0.0237100562645082,0.0549740367305255,"IKZF1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015362",-0.179028980170215,5.34305755814535,2.4221005663249,0.142318240449677,0.228088282481298,"TSPAN13","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000030484",-0.401636442361174,4.61532646965617,9.21098107112266,0.00905581929153705,0.0254924772255934,"AHR","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000024761",-0.388266185366124,4.60199114757042,17.18618843009,0.00102411408264046,0.00492432877236666,"SNX13","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000039946",-1.13168811414993,7.28579162448595,22.161343141215,0.00035161832476371,0.00219563803294654,"CD34","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,TRUE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015368",-0.774336167553412,3.56090866647397,17.1003931100034,0.00104496946543969,0.00499374145224794,"HDAC9","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000023303",0.066314437933189,1.55901355692441,0.0806316848510972,0.780673454292967,0.839424797036563,"FIGNL1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000054202",0.479419741763438,5.9333742888502,10.902975217205,0.00534647137067214,0.017006199939153,"SEC61G","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000026412",-0.931095530728589,5.20738210634235,23.0148743959941,0.000297398659679247,0.00195130258244912,"PLXNA2","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000022126",0.145278309877165,6.17304758957122,0.331241267727593,0.574216588861377,0.670182602086939,"EGFR","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000015350",-0.390891355990248,1.55180926406218,1.91241293969784,0.188738998727141,0.285329676115032,"THSD7A","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000032740",-0.432112291186031,6.1595574278823,13.9950809018429,0.00225146972881738,0.00885287254785199,"TMEM106B","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015353",-1.21592561854772,3.09306678336985,22.6159174259575,0.000321640204415484,0.00206209072446227,"SCIN","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,TRUE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000032709",-0.715464583972427,4.07414772383286,4.74246825476105,0.0473330630399192,0.0947010446088401,"ARL4A","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000024313",-0.0835210530523405,6.88540326819955,0.374524117752735,0.550522572304485,0.650005654558344,"NDUFA4","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000026722",0.525047947018987,4.71247202798419,16.0045656008475,0.00135631899596772,0.00603853055056916,"PHF14","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000058909",-0.804083289775875,1.72516206906235,5.81145569458534,0.0305230294429913,0.0670826335364566,"TWIST1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000058419",-0.757890139593654,1.80727628019066,9.49292438697034,0.00827618232893422,0.0237076728661491,"ENSSSCG00000058419","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015631",0.0283775452721309,5.10423411947817,0.0504093633573902,0.825650565658777,0.873461892097208,"GRB10","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000038506",0.14913806695373,8.47620599631394,1.36222609082086,0.262970744753597,0.369579079397759,"CD46","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
