"score","comparison","n_control","n_case","median_control","median_case","median_case_minus_control","p_value","p_adj_BH_within_singscore_sensitivity"
"directional_singscore","ACLT_1W vs Control",6,6,0.0477107632556862,0.113939291430485,0.0662285281747984,0.00507486809794025,0.00761230214691038
"directional_singscore","ACLT_4W vs Control",6,6,0.0477107632556862,0.116539319786848,0.068828556531162,0.00507486809794025,0.00761230214691038
"up_singscore","ACLT_1W vs Control",6,6,0.242708430071206,0.306064951697655,0.0633565216264489,0.00507486809794025,0.00761230214691038
"up_singscore","ACLT_4W vs Control",6,6,0.242708430071206,0.281232816654104,0.038524386582898,0.00507486809794025,0.00761230214691038
"down_reoriented_singscore","ACLT_1W vs Control",6,6,-0.207252186588921,-0.190457501681991,0.0167946849069298,0.297953061608168,0.297953061608168
"down_reoriented_singscore","ACLT_4W vs Control",6,6,-0.207252186588921,-0.159863478358376,0.047388708230545,0.0926958025578126,0.111234963069375
