"gene_id","logFC","logCPM","F","PValue","FDR","gene_name","contrast","target_group","reference_group","significant_FDR05","strict_sig","direction"
"ENSSSCG00000039963",0.305644042778207,1.02576616855074,1.48874065296595,0.242779294703471,0.344411213148062,"SNORA3A","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000015288",-0.00791562517328505,5.11303116482077,0.00505025078484132,0.944359012778805,0.961655707868694,"RBBP5","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000050793",0.0474015830975104,4.99084342648745,0.0219243761133633,0.884416484390162,0.917819892258489,"ssc-mir-10390","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000015286",0.00938937913824552,4.85095296303833,0.00864252033741211,0.927258863780806,0.948926905967228,"DSTYK","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000014570",-2.57175615942951,3.35220266164077,56.2367232383741,3.03384010896288e-06,6.72595736306366e-05,"NRIP3","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,TRUE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000062483",0.688196771441169,2.68594755997935,5.82215406353942,0.030242559585295,0.0666216298680551,"GVQW3","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000014907",-0.500119494344091,2.2455207561414,8.13797101582689,0.0128683585008047,0.0337738053737698,"CREBZF","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000062997",-0.707848870957847,1.57410632938897,5.52008836042931,0.034147929606794,0.0731748693305478,"CCDC89","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000059302",-0.578240372158579,3.31447715635421,10.3700421268017,0.00622200240283344,0.0191932726917053,"TRIM3","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000015287",-0.694107389912826,1.08670455008568,7.27180918353228,0.0175028222416228,0.0432706441318821,"TMCC2","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000062999",0.986507811824293,0.0232349588383499,6.37089158526616,0.0246172280190522,0.0566494755691462,"ENSSSCG00000062999","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000038471",-0.467458923249107,2.0499685947821,5.88649590508308,0.029487536822078,0.0652715570122296,"NUAK2","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000042206",-1.04853288964561,1.18401639521022,19.3481910059473,0.000622008247145978,0.00334203223164541,"ENSSSCG00000042206","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,TRUE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000015301",-0.358362706103376,4.20014693157221,1.27907009331921,0.277222987940438,0.382484954183429,"STEAP1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000015302",-0.799848503899844,2.64412852968556,5.93290442729189,0.0289487907973511,0.0643889132948407,"STEAP2","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000055798",1.21453365782052,0.631917584961718,12.3410274553869,0.00352661416689511,0.0123448842689174,"ENSSSCG00000055798","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,TRUE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000056914",-0.581908655708661,1.47913653192222,5.44778056258033,0.035166190042477,0.0749618665380522,"ENSSSCG00000056914","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000059774",-1.41148216539823,1.33492320141398,22.3785835110919,0.000331951947000452,0.00207769219949755,"ENSSSCG00000059774","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,TRUE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000056760",-0.249891942198821,0.691419594333114,0.558966003221012,0.467207910345607,0.574219732799539,"ENSSSCG00000056760","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000061504",-0.841609716446596,1.90921265834603,14.0505226513242,0.00219066228731431,0.00855879668826369,"CFAP69","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000028201",-0.337302356296323,4.9186746746007,5.04234210052337,0.041541974043447,0.0855297145320963,"CWF19L2","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000056752",0.988123180693305,0.836394712913473,11.9953883215338,0.00387160112840271,0.0132590228249653,"ENSSSCG00000056752","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000015002",-1.04506468724001,0.607089879289758,10.148679354122,0.0067221669021289,0.0203338067316801,"ELMOD1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,TRUE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000029651",0.886647242200936,1.67660158752546,8.8890700104818,0.00999240965157106,0.027881193211294,"SLN","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t7"
