"absolute_path","relative_path","filename","size_bytes","rank_score"
"D:/R/ACL ∩ senescence2/Final_submit/Figure5/Sus_scrofa.Sscrofa11.1.115.gtf.gz","Final_submit/Figure5/Sus_scrofa.Sscrofa11.1.115.gtf.gz","Sus_scrofa.Sscrofa11.1.115.gtf.gz",18771477,135
"D:/R/ACL ∩ senescence2/reference/Sus_scrofa_Ensembl115/Sus_scrofa.Sscrofa11.1.115.gtf.gz","reference/Sus_scrofa_Ensembl115/Sus_scrofa.Sscrofa11.1.115.gtf.gz","Sus_scrofa.Sscrofa11.1.115.gtf.gz",18771477,135
