"","GSM7140486_CON1_synovium","GSM7140491_CON2_synovium","GSM7140495_CON3_synovium","GSM7140500_CON4_synovium","GSM7140502_CON5_synovium","GSM7140507_CON6_synovium","GSM7140511_CON7_synovium","GSM7140516_CON8_synovium","GSM7140518_CON9_synovium","GSM7140523_CON10_synovium","GSM7140527_CON11_synovium","GSM7140532_CON12_synovium","GSM7140487_ACLT1_synovium","GSM7140488_ACLT2_synovium","GSM7140489_ACLT3_synovium","GSM7140490_ACLT4_synovium","GSM7140492_ACLT5_synovium","GSM7140493_ACLT6_synovium","GSM7140494_ACLT7_synovium","GSM7140496_ACLT8_synovium","GSM7140497_ACLT9_synovium","GSM7140498_ACLT10_synovium","GSM7140499_ACLT11_synovium","GSM7140501_ACLT12_synovium"
"CBS",0.199427744660049,1.10548236411545,-0.664791849810163,0.0688592193921559,1.63519396260716,1.61834269939684,0.314746897019626,0.211444534457743,0.998508584955644,-0.956133324056823,0.130133338555321,0.516731944662965,1.12255245748284,-1.238423116675,-2,-0.513256491688835,-0.276019063362498,0.550754586671706,-0.842558631770999,-0.131489315353009,0.0603841062992479,-1.64725715876366,-0.198948701301958,0.486311700032452
"FASN",0.208808292742389,0.767354815389657,1.65120416978946,-0.0440151935813743,-0.987043392875748,1.61401620354167,0.499343305526605,-0.877706231625926,0.998776682182165,0.381043868412937,-0.651841068286344,0.362135165862236,-0.197149305721842,-0.270791294364094,-0.415671785146301,-0.769656545642137,-1.69633884753432,0.48066907576123,-0.426879314341953,-0.140236979001085,-0.515988275364997,1.01605031190468,-2,1.42642645979074
"PPARG",1.42416873860185,1.04674825930092,0.746870669930119,0.626987302569607,-0.434207418516053,2,0.886991229886432,0.248394821341744,0.831130794359403,0.13266077627802,-0.653228645084782,0.940216435768477,-0.946882321571251,-0.324050707705565,-0.874151102245183,-1.46283979673522,-0.860821001315094,-0.0167864367097767,0.610443619119679,-0.79454035925742,-0.0928453999475579,-1.28611488533722,-2,0.311144159065175
"BUB1",-0.813551980374381,-2,0.4591747075914,-2,0.873798215348774,0.310319717163,0.204033777118001,-0.0788634915053965,-0.0422880274325202,0.834655747248425,0.884541234366622,0.643168460080757,-0.370102743207206,0.284510453998989,-1.09126931194577,2,0.781935840268173,0.637696063845689,0.00716774161987912,1.02810726844467,-1.0829936157237,0.0935510397564447,-1.20109337427307,-0.0848471154749462
"CCNB1",0.145141127636407,-2,0.0737767110775591,-0.198896786557869,0.345809454866807,0.775596543543755,-0.315452468077274,-0.673786721992847,-0.200389900646073,1.15887431068894,0.0626311473720653,-0.416254105979406,0.130511063803044,0.572298892198433,-0.363233430430126,2,0.866501252978183,1.62629382602101,-0.308364349472158,0.352421319088921,-1.90784148675544,-0.0615206900032197,0.36160904092447,-1.9925339593661
"CDK1",-0.203473760109129,-1.00451059616491,0.244210008417503,-1.38379520038388,0.852406486258076,-0.401073609106668,-0.115102081875219,0.529089707613703,-0.285351296794549,0.632947728956542,-0.162212982967034,-1.48014932538665,1.28387208959608,0.42026959702922,0.903501696727492,1.87960250317366,1.63953785340608,0.29079980675756,-1.37407069386229,0.17210233997264,-0.879002918089925,-0.989430835003428,-1.57281515792897,1.00264863976409
"CKAP2",-0.57351638737041,-0.42660347307847,-0.696075986842474,-0.800660252131489,0.313039521900868,0.299887154493948,0.273934107164875,-0.762368113385864,-0.27862371715955,0.340487020745251,0.550322464611122,-0.238148977253884,-0.0410729696073448,-0.187595998089751,0.382940280816978,2,0.989132444221128,1.62643817498969,-0.171727350303288,-0.718027775610282,0.373535978875893,0.710895400352484,-2,-0.0441343133678013
"ENTPD7",-0.0194028453352487,-0.831004961779422,-0.0173097607497145,-0.423687768326657,-0.046720389848587,0.849064334749785,-0.58273099286579,0.00736603016816232,-0.75333515611416,1.33503123725341,1.14268905570915,-0.155105770637453,0.987881871455585,0.168569580954749,0.566629317497947,1.31678337546665,0.546896346734024,-1.44956162804493,-1.0078457483619,0.507521113770965,0.677651233894975,0.509637512273258,-0.182310609630172,-2
"ESPL1",0.356064048133052,-0.589932770117819,0.38119617727504,-0.369768449978078,0.275444155330132,-0.832032841709184,0.0821412631762529,-1.03640048603155,-1.49516674435561,0.593556052147451,0.237962261460854,-0.567492637911342,0.859713620578024,0.57957763425645,0.400333550538602,1.63684111876925,0.378317260093747,1.78741107672903,-0.210096123025917,1.03029968152805,-0.740838888224196,0.675564906014232,-2,-0.674100934625348
"FOXM1",-1.11260001294394,-0.239030926387976,0.206321166834757,-1.30665126037909,-0.34870692990935,0.532499307919313,0.205731622952439,-2,-0.180646083092245,0.961248913011911,-0.305572616563347,0.583256086854176,0.494883176059471,0.765426069777236,-0.994829644811889,1.85325064319293,1.18941474514784,1.83596053635738,-0.333044565394429,0.303039351659935,-1.6920481395531,0.248432284779271,-0.362469879176211,-0.111700578855998
"HIF1A",-0.859175183098118,-0.777546998365422,-0.544680626194057,-0.704419868160737,0.0372002074585573,-0.794908148300523,-1.2502262953412,-0.614408264504409,-1.07873986659688,-0.770415274678733,1.77433219843323,-0.768509054307446,1.23362158653407,0.327026414689076,1.49950174340691,1.18165296281285,1.36722817023606,-0.268633621054772,-0.147288220590998,-0.0165218520143372,1.13563869114037,-1.00605151058127,1.68654751377984,-0.641224704702046
