"","GSM7140486_CON1_synovium","GSM7140491_CON2_synovium","GSM7140495_CON3_synovium","GSM7140500_CON4_synovium","GSM7140502_CON5_synovium","GSM7140507_CON6_synovium","GSM7140511_CON7_synovium","GSM7140516_CON8_synovium","GSM7140518_CON9_synovium","GSM7140523_CON10_synovium","GSM7140527_CON11_synovium","GSM7140532_CON12_synovium","GSM7140487_ACLT1_synovium","GSM7140488_ACLT2_synovium","GSM7140489_ACLT3_synovium","GSM7140490_ACLT4_synovium","GSM7140492_ACLT5_synovium","GSM7140493_ACLT6_synovium","GSM7140494_ACLT7_synovium","GSM7140496_ACLT8_synovium","GSM7140497_ACLT9_synovium","GSM7140498_ACLT10_synovium","GSM7140499_ACLT11_synovium","GSM7140501_ACLT12_synovium"
"CBS",-0.0419413667670854,1.08890421153619,-1.12057270543528,-0.204903771344332,1.75003656058856,1.72900452114962,0.101988315549299,-0.0269432272329693,0.955390378529105,-1.48419561607859,-0.128427623844813,0.354085587729354,1.11020937260621,-1.83652113479212,-3.47349413310755,-0.931441624363029,-0.635345902239644,0.396549202451506,-1.3424431920848,-0.454958513929594,-0.215481548843547,-2.34678636475551,-0.539154484765519,0.316118120434726
"FASN",7.33198933574596,7.58016583276358,7.97288269299324,7.21965339835219,6.80064186466565,7.95635912902789,7.46108146829029,6.84922316017569,7.68299248355291,7.40851800452925,6.94958082558601,7.4001163846607,7.15161199806775,7.11889098015141,7.05451687480723,6.89723239751588,6.48548376386255,7.45278403067362,7.04953708311,7.17689959956553,7.00994369401366,7.6906675987698,6.16727056260241,7.87300821089866
"PPARG",3.8140622338393,3.34599079445412,2.97408692968203,2.82540930513257,1.50933090502413,4.56128283013097,3.14786242884861,2.35588436584744,3.07858512171824,2.21235267101417,1.23770393617013,3.21387156214982,0.873518878463767,1.64594567029205,0.963719088535167,0.233635853279577,0.980250887607261,2.02701039116526,2.80489206733063,1.06245118471031,1.932683161051,0.452807541595209,-0.539154484765519,2.43370519020513
"BUB1",-0.242218629464607,-1.28042527353094,0.732949942474356,-1.24034560065753,1.05063622797083,0.618896619153179,0.53745988230237,0.320702798430857,0.348727073717297,1.02064510334014,1.05886757458516,0.873926733923205,0.09755405183817,0.599121452544021,-0.455006823655796,1.91901036237655,0.980250887607261,0.869733760779721,0.386620293162592,1.16886847717847,-0.448665950204339,0.452807541595209,-0.539154484765519,0.316118120434726
"CCNB1",-0.0419413667670854,-2.34195478203692,-0.116744939097812,-0.402558972009081,0.168397461100823,0.618896619153179,-0.524731642557075,-0.900334549073479,-0.404124041452378,1.02064510334014,-0.128427623844813,-0.630391059048627,-0.0572764748073738,0.405801756189695,-0.574815239477482,1.91901036237655,0.714182159696688,1.51059024981386,-0.517301937133374,0.175327960745165,-2.19386022065065,-0.258562520126584,0.184958452354571,-2.28263414757788
"CDK1",0.133891989300479,-0.466592935581109,0.469491230201931,-0.750917796588263,0.925416351083528,-0.0142356936487195,0.200138456600585,0.683046908383262,0.072513755175663,0.760902474241487,0.164822495299085,-0.82314818214608,1.24885789427789,0.601471588761657,0.963719088535167,1.69543802211349,1.51547725539991,0.504416554852706,-0.74362797007182,0.415436827307425,-0.372508038047543,-0.455288624916856,-0.892613696075812,1.03804306711113
"CKAP2",0.560674099073595,0.669975541450531,0.469491230201931,0.391681793903461,1.22026103939244,1.21047583612984,1.19116708086611,0.420170684868332,0.780070701174771,1.24068164862063,1.3967966966876,0.810183421168395,0.95680560205339,0.847794230032419,1.27226636383649,2.65051186041848,1.72326604713189,2.19741385056915,0.859600313248393,0.45315936321366,1.26526967622967,1.51626103083288,-1.36178456408841,0.954527999092193
"ENTPD7",4.77493596496336,4.59694352033137,4.77539499930378,4.68627224623581,4.76894495479871,4.96539948561465,4.65139247970451,4.78080664653795,4.61397728392605,5.07197687770651,5.02979431755141,4.74517495901124,4.99584355693411,4.81616019417724,4.90345866738393,5.06797493948712,4.89913102994317,4.46128786968524,4.55816057080881,4.89049564835526,4.92780688174519,4.89095979567032,4.73920866629216,4.0890873062963
"ESPL1",0.788070803328691,-0.0774181115390872,0.811064093326889,0.124009393135473,0.71431196800008,-0.298914552339436,0.53745988230237,-0.485889737991424,-0.905613254428822,1.005351340513,0.680019924912564,-0.0568877193663277,1.24885789427789,0.992562538797555,0.828572803821207,1.95984890624244,0.808430182874803,2.09760479189886,0.27009300179259,1.40492643693556,-0.215481548843547,1.08038093107119,-2.06151709826517,-0.154423247244222
"FOXM1",-1.09623450776991,-0.447483224588948,-0.116744939097812,-1.24034560065753,-0.528933506099216,0.125489465519746,-0.117182760623357,-1.89796622817211,-0.404124041452378,0.443898004406768,-0.496900045251061,0.16318370856347,0.09755405183817,0.298471245630888,-1.0087729908479,1.10633818911619,0.613344106214024,1.09349778625794,-0.517301937133374,-0.0449177104585255,-1.52655847579922,-0.0854713486936506,-0.539154484765519,-0.352922041483303
"HIF1A",7.22560606394001,7.26224130720388,7.36675320123179,7.29506122367037,7.62790498307354,7.25444951380194,7.05009986258874,7.33545899813172,7.12706405153983,7.26544206969797,8.40754075813357,7.26629759340274,8.16486643103499,7.75798080971242,8.28419511950175,8.14154258549867,8.22482990702808,7.49064483521409,7.54510541496972,7.6037941845317,8.12089109065223,7.1596870433876,8.36814243894209,7.32342361092657
"HTRA1",7.36211130273251,7.8063822748762,7.49955316205283,7.59108192522624,7.94098600673192,7.35114564401669,7.41177826929832,7.19883727980224,7.78801840580309,7.64067093526978,8.9583206092136,7.35161859131043,8.58954196351839,8.18159460228721,8.58587432195485,8.5229397393962,8.39940789066319,8.42914839617548,8.60422334271084,8.15962928278284,8.12421803332352,7.73323149421783,8.71677262992622,8.42301227528252
"KIF20A",0.788070803328691,-0.250617400064016,0.562759764132252,0.391681793903461,1.22026103939244,0.858947177250657,1.23817938190088,0.0984798309446101,1.25270796145258,1.98827554129842,1.73139905179141,0.934972414747189,1.49162575651431,1.24467628291237,-0.0558241599157688,2.37660515861428,1.51542136595865,1.79178490741808,0.143320137035797,0.686028915050231,1.26526967622967,1.34529360357193,-0.25547579388253,0.175660352070208
"KIF2C",1.07345852292654,0.93560522692663,1.7735671709122,-0.0310940011920915,1.27264267923532,0.453008420577377,1.23817938190088,0.600631274203131,0.780070701174771,1.02064510334014,0.960384812525357,0.673569660328335,1.11020937260621,0.847794230032419,0.256506718468986,1.74301025456058,0.714182159696688,1.87452868102933,1.3929047369572,0.886482209053533,0.707074159105646,1.08038093107119,0.521912732168373,1.51697558928427
"KIFC1",0.889603339795161,-0.0774181115390872,1.31861934339672,1.34131202022953,0.0533351310523264,0.565692131809242,0.610744878850274,0.683046908383262,1.20721797707438,1.32008710247338,1.01046637214479,0.934972414747189,0.690965755742007,0.505697265483586,0.108776938410519,2.07585518889247,1.57025645276895,1.87452868102933,1.21520881562301,1.21927129277023,0.459864763561905,1.15130715615301,0.184958452354571,1.82979840605109
"LOXL2",5.30828481922754,5.71475290006649,5.19075692192158,5.02843017689832,6.13193454626276,5.56705908339692,4.71473987749933,5.07785888885558,5.37793287032186,4.29364448247104,7.02917767647459,4.11751029212429,6.63027473465962,6.61639080834425,7.04119384230784,6.05848003359917,6.54436319623573,6.67499523004303,7.38588744378508,6.51617733218269,6.18925906096418,5.62095049737991,6.8446645944932,5.87395923713411
